ID-model,GO:0008150,GO:0044710,GO:0044238,GO:0008152,GO:0044699,GO:0071704,GO:0050896,GO:0044237,GO:0006810,GO:0051234,GO:0006950,GO:0009987,GO:0044765,GO:0051179
BLAST-S11,NaN,0.79,0.73,0.68,0.53,0.57,0.54,0.60,0.52,0.52,0.51,0.53,0.52,0.44
BLAST-S14,NaN,0.83,0.67,0.64,0.61,0.60,0.59,0.58,0.55,0.55,0.51,0.51,0.50,0.48
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.84,0.61,0.66,0.76,0.59,0.45,0.64,0.94,0.94,0.44,0.51,0.98,0.92
101-2,NaN,0.85,0.63,0.72,0.77,0.63,0.47,0.67,0.91,0.91,0.47,0.56,0.90,0.90
101-3,NaN,0.85,0.63,0.73,0.80,0.56,0.44,0.64,0.95,0.95,0.44,0.47,0.99,0.93
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,0.96,0.85,0.83,0.76,0.85,0.55,0.77,0.87,0.87,0.40,0.49,0.91,0.81
103-2,NaN,0.87,0.64,0.79,0.82,0.60,0.47,0.64,0.91,0.91,0.35,0.54,0.92,0.86
103-3,NaN,0.66,0.59,0.74,0.87,0.53,0.70,0.47,0.94,0.94,0.48,0.37,0.97,0.92
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.83,0.73,0.65,0.77,0.67,0.62,0.70,0.95,0.95,0.47,0.62,0.95,0.92
105-2,NaN,0.88,0.83,0.70,0.86,0.80,0.76,0.82,0.93,0.93,0.60,0.64,0.93,0.91
105-3,NaN,0.76,0.83,0.67,0.84,0.79,0.84,0.76,0.93,0.93,0.74,0.62,0.93,0.91
106-1,NaN,0.91,0.88,0.92,0.83,0.84,0.69,0.80,0.89,0.89,0.50,0.42,0.89,0.87
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.96,1.00,0.88,0.66,0.96,0.75,0.83,0.93,0.93,0.50,0.38,0.82,0.86
107-1,NaN,0.85,0.72,0.70,0.74,0.69,0.70,0.68,0.91,0.91,0.54,0.61,0.92,0.89
107-2,NaN,0.82,0.83,0.75,0.88,0.81,0.77,0.68,0.97,0.97,0.48,0.63,0.97,0.95
107-3,NaN,0.86,0.87,0.70,0.82,0.82,0.72,0.79,0.98,0.98,0.52,0.70,0.98,0.96
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.71,0.66,0.61,0.49,0.69,0.68,0.63,0.65,0.63,0.62,0.48,0.58,0.56
110-2,NaN,0.70,0.67,0.73,0.72,0.73,0.61,0.72,0.91,0.91,0.49,0.59,0.91,0.91
110-3,NaN,0.68,0.64,0.57,0.49,0.67,0.66,0.59,0.59,0.59,0.53,0.47,0.59,0.55
111-1,NaN,0.71,0.66,0.61,0.49,0.69,0.68,0.63,0.65,0.63,0.62,0.48,0.58,0.56
111-2,NaN,0.68,0.64,0.57,0.49,0.67,0.66,0.59,0.59,0.59,0.53,0.47,0.59,0.55
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.80,0.76,0.70,0.67,0.81,0.83,0.78,0.89,0.89,0.64,0.60,0.89,0.86
112-2,NaN,0.81,0.76,0.70,0.69,0.81,0.83,0.78,0.90,0.90,0.62,0.60,0.89,0.87
112-3,NaN,0.80,0.76,0.70,0.65,0.81,0.83,0.78,0.89,0.89,0.64,0.59,0.89,0.87
113-1,NaN,0.81,0.76,0.70,0.67,0.81,0.83,0.78,0.90,0.90,0.62,0.59,0.90,0.88
113-2,NaN,0.68,0.64,0.57,0.46,0.67,0.66,0.59,0.60,0.59,0.53,0.45,0.60,0.55
113-3,NaN,0.72,0.66,0.62,0.51,0.70,0.78,0.63,0.79,0.77,0.67,0.43,0.70,0.68
114-1,NaN,0.78,0.65,0.71,0.87,0.58,0.72,0.66,0.96,0.96,0.50,0.56,0.94,0.95
115-1,NaN,0.89,0.84,0.69,0.86,0.79,0.71,0.78,0.95,0.95,0.52,0.58,0.95,0.93
116-1,NaN,0.80,0.82,0.76,0.80,0.79,0.70,0.78,0.93,0.93,0.47,0.54,0.88,0.90
116-2,NaN,0.73,0.53,0.62,0.48,0.62,0.56,0.70,0.89,0.89,0.44,0.48,0.65,0.82
117-1,NaN,0.82,0.75,0.66,0.67,0.70,0.76,0.75,0.87,0.85,0.61,0.58,0.87,0.83
117-2,NaN,NaN,NaN,NaN,1.00,NaN,0.50,NaN,1.00,1.00,0.50,0.00,1.00,1.00
119-1,NaN,0.83,0.53,0.59,0.68,0.49,0.74,0.64,0.95,0.94,0.63,0.57,0.95,0.89
120-1,NaN,0.81,0.65,0.61,0.93,0.59,0.68,0.61,0.96,0.96,0.44,0.61,0.97,0.95
120-2,NaN,0.54,0.50,0.65,0.66,0.47,0.65,0.61,0.72,0.73,0.48,0.51,0.71,0.73
120-3,NaN,0.52,0.54,0.47,0.64,0.58,0.57,0.54,0.65,0.65,0.50,0.60,0.68,0.65
121-1,NaN,0.72,0.54,0.71,0.81,0.48,0.72,0.37,0.90,0.90,0.50,0.35,0.91,0.88
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,0.82,0.62,0.81,0.83,0.55,0.67,0.44,0.97,0.97,0.50,0.46,0.91,0.94
122-1,NaN,0.88,0.63,0.77,0.88,0.63,0.69,0.63,0.94,0.94,0.50,0.40,0.94,0.94
124-1,NaN,0.57,0.49,0.45,0.61,0.47,0.61,0.35,0.93,0.93,0.33,0.42,0.97,0.57
124-2,NaN,0.32,0.46,0.46,0.19,0.51,0.39,0.46,0.02,0.02,0.50,0.40,0.03,0.02
124-3,NaN,0.57,0.49,0.45,0.61,0.47,0.61,0.35,0.94,0.94,0.33,0.42,0.99,0.59
125-1,NaN,0.78,0.66,0.71,0.88,0.58,0.74,0.66,0.96,0.96,0.49,0.56,0.94,0.95
125-2,NaN,0.84,0.84,0.68,0.80,0.75,0.72,0.67,0.91,0.91,0.53,0.61,0.92,0.87
125-3,NaN,0.73,0.73,0.62,0.67,0.62,0.60,0.65,0.88,0.87,0.46,0.54,0.79,0.82
126-1,NaN,0.96,0.61,0.78,0.68,0.64,0.68,0.54,0.94,0.94,0.49,0.50,0.88,0.94
127-1,NaN,0.88,0.57,0.67,0.70,0.59,0.83,0.63,0.82,0.81,0.69,0.45,0.82,0.72
127-2,NaN,0.89,0.62,0.72,0.66,0.60,0.81,0.72,0.83,0.83,0.63,0.46,0.84,0.74
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.80,0.71,0.60,0.68,0.61,0.82,0.63,0.78,0.78,0.77,0.60,0.78,0.78
129-1,NaN,0.82,0.83,0.68,0.65,0.85,0.72,0.77,0.88,0.88,0.71,0.53,0.88,0.88
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.82,0.83,0.68,0.65,0.85,0.72,0.77,0.88,0.88,0.71,0.53,0.88,0.88
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.72,0.66,0.77,0.83,0.39,0.69,0.49,0.84,0.84,0.50,0.56,0.88,0.81
131-2,NaN,0.72,0.90,0.76,0.82,NaN,0.69,0.51,0.83,0.83,0.50,0.56,0.87,0.79
131-3,NaN,0.83,0.77,0.76,0.84,0.74,0.73,0.67,0.87,0.87,0.58,0.59,0.90,0.85
132-1,NaN,0.80,0.72,0.68,0.60,0.77,0.84,0.73,0.86,0.86,0.65,0.59,0.85,0.83
132-2,NaN,0.80,0.72,0.68,0.58,0.77,0.84,0.73,0.87,0.86,0.65,0.56,0.86,0.83
65-1,NaN,0.70,0.70,0.53,0.69,0.59,0.78,0.61,0.77,0.76,0.56,0.57,0.78,0.74
65-2,NaN,0.75,0.73,0.70,0.65,0.70,0.72,0.68,0.76,0.76,0.50,0.58,0.77,0.73
65-3,NaN,0.69,0.70,0.52,0.68,0.58,0.76,0.61,0.77,0.77,0.58,0.57,0.78,0.74
68-1,NaN,0.71,0.49,0.42,0.73,0.46,0.51,0.45,0.92,0.92,0.59,0.48,0.92,0.89
68-2,NaN,0.79,0.56,0.46,0.71,0.54,0.59,0.49,0.82,0.81,0.46,0.50,0.88,0.78
69-1,NaN,0.91,0.78,0.70,0.78,0.76,0.80,0.77,0.94,0.94,0.60,0.53,0.93,0.93
69-2,NaN,0.91,0.82,0.72,0.70,0.80,0.77,0.72,0.98,0.96,0.59,0.47,0.91,0.95
70-1,NaN,0.77,0.77,0.81,0.44,0.81,0.46,0.73,0.54,0.54,0.48,0.43,0.43,0.53
70-2,NaN,0.62,0.53,0.61,0.62,0.65,0.50,0.62,0.65,0.65,0.50,0.55,0.51,0.65
70-3,NaN,0.66,0.46,0.57,0.58,0.45,0.54,0.55,0.53,0.53,0.36,0.48,0.53,0.62
72-1,NaN,0.69,0.57,0.64,0.85,0.51,0.67,0.65,0.95,0.95,0.61,0.63,0.95,0.94
72-2,NaN,0.55,0.52,0.64,0.58,0.47,0.62,0.61,0.48,0.48,0.57,0.57,0.50,0.48
73-1,NaN,0.75,0.68,0.56,0.76,0.67,0.72,0.59,0.92,0.92,0.64,0.50,0.95,0.91
73-2,NaN,0.67,0.60,0.56,0.76,0.59,0.73,0.53,0.92,0.92,0.64,0.46,0.95,0.91
73-3,NaN,0.62,0.68,0.49,0.66,0.65,0.72,0.55,0.79,0.81,0.57,0.55,0.79,0.80
74-1,NaN,0.90,0.80,0.72,0.78,0.79,0.70,0.69,0.98,0.98,0.50,0.46,0.90,0.96
74-2,NaN,0.79,0.73,0.71,0.84,0.71,0.68,0.70,0.91,0.91,0.59,0.48,0.96,0.90
75-1,NaN,0.91,0.78,0.70,0.78,0.75,0.81,0.77,0.94,0.94,0.60,0.53,0.93,0.93
75-2,NaN,0.92,0.79,0.70,0.72,0.76,0.78,0.71,0.98,0.96,0.59,0.45,0.95,0.95
79-1,NaN,0.91,0.68,0.78,0.67,0.70,0.69,0.77,0.86,0.92,0.52,0.59,0.86,0.90
79-2,NaN,1.00,0.78,0.85,0.57,0.60,0.83,0.80,1.00,1.00,0.38,0.47,1.00,1.00
79-3,NaN,0.88,0.69,0.72,0.53,0.70,0.71,0.74,0.88,0.95,0.49,0.55,0.82,0.95
80-1,NaN,0.89,0.74,0.71,0.81,0.77,0.71,0.69,0.98,0.98,0.50,0.43,0.97,0.96
80-2,NaN,0.85,0.69,0.75,0.83,0.66,0.71,0.72,0.91,0.91,0.57,0.50,0.96,0.90
81-1,NaN,0.73,0.70,0.84,0.83,0.65,0.71,0.67,1.00,1.00,0.50,0.47,0.95,0.95
81-2,NaN,0.73,0.70,0.84,0.86,0.65,0.71,0.67,1.00,1.00,0.50,0.49,0.95,0.97
82-1,NaN,0.95,0.81,0.74,0.74,0.86,0.78,0.69,0.77,0.77,0.53,0.58,0.78,0.77
83-1,NaN,0.85,0.69,0.49,0.72,0.37,0.68,0.64,0.92,0.93,0.45,0.51,0.92,0.91
83-2,NaN,0.84,0.69,0.49,0.72,0.37,0.67,0.64,0.93,0.93,0.42,0.52,0.93,0.92
84-1,NaN,0.74,0.74,0.67,0.70,0.67,0.69,0.60,0.89,0.89,0.56,0.57,0.89,0.89
85-1,NaN,0.85,0.91,0.81,0.77,0.89,0.82,0.84,0.88,0.88,0.66,0.48,0.89,0.87
85-2,NaN,0.85,0.91,0.81,0.77,0.89,0.82,0.84,0.88,0.88,0.66,0.48,0.89,0.87
86-1,NaN,0.59,0.38,0.51,0.48,0.38,0.59,0.37,0.59,0.58,0.48,0.56,0.62,0.55
86-2,NaN,0.59,0.38,0.51,0.48,0.38,0.59,0.37,0.59,0.58,0.48,0.56,0.62,0.55
86-3,NaN,0.63,0.44,0.61,0.56,0.44,0.52,0.50,0.63,0.63,0.44,0.58,0.67,0.62
87-1,NaN,0.90,0.67,0.75,0.92,0.60,0.62,0.64,0.99,0.99,0.50,0.45,0.99,0.95
87-2,NaN,0.90,0.65,0.80,0.94,0.58,0.62,0.60,0.98,0.98,0.50,0.45,0.98,0.96
87-3,NaN,0.78,0.63,0.72,0.93,0.56,0.64,0.58,1.00,1.00,0.50,0.38,1.00,0.96
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.83,0.67,0.71,0.64,0.73,0.71,0.69,0.91,0.91,0.53,0.49,0.91,0.83
93-2,NaN,0.65,0.59,0.55,0.55,0.59,0.57,0.56,0.80,0.80,0.42,0.52,0.80,0.74
94-1,NaN,0.87,0.74,0.76,0.85,0.73,0.67,0.56,0.95,0.95,0.55,0.49,0.96,0.92
95-1,NaN,0.74,0.49,0.42,0.65,0.46,0.50,0.47,0.90,0.89,0.55,0.48,0.90,0.85
95-2,NaN,0.80,0.61,0.47,0.68,0.58,0.54,0.51,0.86,0.85,0.47,0.48,0.88,0.81
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.73,0.66,0.65,0.78,0.64,0.65,0.55,0.97,0.97,0.55,0.47,0.93,0.96
99-1,NaN,0.79,0.69,0.74,0.50,0.64,0.84,0.66,0.70,0.70,0.83,0.44,0.62,0.66
