ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0005783,GO:0070013,GO:0044427,GO:0005887,GO:0005694,GO:0005654,GO:0043233,GO:0044428,GO:0031974,GO:0031226,GO:0030054,GO:0005615,GO:0043005,GO:0005634,GO:0097458,GO:0005856,GO:0070161,GO:0044430,GO:0005730,GO:0044463,GO:0005739,GO:0043234,GO:0042995,GO:0044459,GO:0005912,GO:0032991,GO:0044421,GO:0005576,GO:0044425,GO:0005886,GO:0071944,GO:0043228,GO:0043232,GO:0044446,GO:0044422,GO:0016021,GO:0030424,GO:0031224,GO:0005794,GO:0043231,GO:0005924,GO:0016020,GO:0030055,GO:0012505,GO:0043229,GO:0031988,GO:0031982,GO:0043226,GO:0043230,GO:0065010,GO:0070062,GO:0005925,GO:0043227,GO:0005829,GO:0044424,GO:0005622,GO:0044444,GO:0005623,GO:0005737,GO:0044464
BLAST-S11,NaN,0.73,0.79,0.76,0.71,0.73,0.79,0.78,0.73,0.75,0.73,0.74,0.75,0.77,0.74,0.75,0.72,0.73,0.70,0.71,0.74,0.67,0.69,0.67,0.71,0.67,0.69,0.74,0.71,0.66,0.67,0.69,0.70,0.68,0.65,0.62,0.62,0.61,0.61,0.65,0.67,0.65,0.64,0.61,0.63,0.58,0.62,0.59,0.60,0.57,0.57,0.58,0.50,0.50,0.50,0.60,0.58,0.58,0.54,0.53,0.52,0.51,0.51,0.49
BLAST-S14,NaN,0.86,0.82,0.82,0.81,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.75,0.75,0.74,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.69,0.69,0.68,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.60,0.60,0.60,0.60,0.60,0.55,0.55,0.55,0.52,0.51,0.50,0.50
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.73,0.74,0.70,0.71,0.68,0.61,0.62,0.68,0.55,0.68,0.70,0.69,0.62,0.66,0.74,0.50,0.70,0.49,0.71,0.64,0.63,0.66,0.54,0.74,0.61,0.60,0.64,0.64,0.59,0.59,0.68,0.69,0.70,0.68,0.63,0.63,0.58,0.58,0.77,0.52,0.76,0.65,0.61,0.61,0.60,0.61,0.73,0.59,0.56,0.56,0.58,0.50,0.50,0.50,0.58,0.59,0.55,0.53,0.54,0.54,0.51,0.54,0.50
101-2,NaN,0.60,0.58,0.51,0.53,0.51,0.50,0.50,0.54,0.55,0.51,0.51,0.51,0.50,0.52,0.53,0.50,0.55,0.50,0.54,0.53,0.49,0.50,0.50,0.56,0.51,0.49,0.55,0.53,0.51,0.51,0.53,0.58,0.55,0.55,0.52,0.52,0.50,0.50,0.57,0.50,0.57,0.52,0.56,0.53,0.53,0.53,0.51,0.56,0.50,0.51,0.54,0.50,0.50,0.50,0.53,0.53,0.49,0.53,0.53,0.52,0.52,0.52,0.52
101-3,NaN,0.73,0.73,0.70,0.71,0.69,0.61,0.61,0.68,0.54,0.68,0.72,0.70,0.60,0.70,0.74,0.50,0.81,0.49,0.72,0.65,0.66,0.67,0.52,0.75,0.64,0.60,0.64,0.65,0.62,0.60,0.69,0.78,0.72,0.70,0.66,0.66,0.62,0.62,0.85,0.53,0.85,0.66,0.74,0.61,0.67,0.61,0.74,0.72,0.56,0.56,0.66,0.50,0.50,0.50,0.58,0.66,0.55,0.65,0.67,0.56,0.60,0.60,0.61
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49,NaN,0.61,NaN,0.52,NaN,NaN,0.96,0.46,0.46,0.76,0.76,0.94,0.93,0.87,NaN,0.87,NaN,NaN,NaN,0.86,NaN,NaN,0.76,NaN,NaN,0.76,NaN,NaN,NaN,NaN,NaN,0.50,0.95,1.00,0.47,0.44,0.89,0.44
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60,1.00,0.54,NaN,0.64,NaN,NaN,0.76,0.50,0.43,0.83,0.83,0.96,0.95,0.71,NaN,0.71,NaN,NaN,NaN,0.76,NaN,NaN,0.83,NaN,NaN,0.83,NaN,NaN,NaN,NaN,NaN,0.54,0.90,0.92,0.55,0.38,0.87,0.38
103-3,NaN,0.63,0.65,0.67,0.77,0.67,0.71,0.66,0.74,0.49,0.67,0.64,0.67,0.66,0.62,0.56,0.60,0.81,0.65,0.69,0.57,0.66,0.66,0.60,0.79,0.63,0.59,0.72,0.57,0.60,0.55,0.64,0.81,0.61,0.60,0.65,0.65,0.64,0.63,0.86,0.49,0.86,0.73,0.78,0.59,0.69,0.59,0.72,0.76,0.51,0.50,0.70,0.50,0.50,0.50,0.54,0.68,0.55,0.71,0.70,0.62,0.62,0.65,0.63
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.89,0.86,0.80,0.78,0.77,0.79,0.72,0.76,0.81,0.76,0.76,0.76,0.72,0.79,0.78,0.71,0.69,0.70,0.76,0.77,0.76,0.72,0.75,0.77,0.59,0.74,0.67,0.77,0.56,0.67,0.69,0.71,0.69,0.68,0.69,0.69,0.63,0.63,0.74,0.58,0.74,0.78,0.65,0.76,0.65,0.76,0.77,0.64,0.60,0.60,0.55,0.60,0.60,0.60,0.76,0.55,0.51,0.60,0.60,0.52,0.55,0.56,0.55
105-2,NaN,0.90,0.87,0.81,0.81,0.80,0.88,0.83,0.82,0.91,0.79,0.79,0.79,0.83,0.77,0.76,0.73,0.76,0.74,0.79,0.69,0.75,0.70,0.71,0.84,0.69,0.75,0.76,0.69,0.67,0.65,0.66,0.78,0.75,0.75,0.74,0.74,0.66,0.66,0.85,0.55,0.84,0.81,0.70,0.66,0.65,0.66,0.81,0.68,0.60,0.60,0.58,0.56,0.57,0.57,0.66,0.57,0.52,0.62,0.62,0.59,0.58,0.60,0.59
105-3,NaN,0.84,0.79,0.80,0.79,0.78,0.85,0.77,0.82,0.85,0.77,0.78,0.77,0.77,0.75,0.77,0.72,0.70,0.71,0.78,0.70,0.75,0.66,0.73,0.80,0.66,0.72,0.73,0.70,0.64,0.71,0.71,0.75,0.72,0.71,0.71,0.71,0.61,0.62,0.82,0.52,0.82,0.77,0.65,0.63,0.64,0.63,0.77,0.63,0.60,0.61,0.55,0.60,0.60,0.60,0.63,0.55,0.55,0.58,0.58,0.58,0.55,0.56,0.54
106-1,NaN,0.56,0.54,0.58,0.69,0.57,0.70,0.64,0.70,0.74,0.57,0.61,0.57,0.64,0.55,0.50,0.49,0.76,0.49,0.69,0.50,0.71,0.56,0.49,0.68,0.69,0.51,0.69,0.50,0.68,0.54,0.61,0.75,0.65,0.67,0.66,0.66,0.62,0.61,0.82,0.50,0.82,0.48,0.70,0.50,0.64,0.50,0.63,0.69,0.52,0.52,0.65,0.50,0.50,0.50,0.50,0.63,0.60,0.70,0.68,0.61,0.54,0.65,0.57
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.57,0.56,0.58,0.65,0.57,0.49,0.70,0.49,0.98,0.57,0.58,0.57,0.70,0.58,0.50,0.49,0.76,0.49,0.68,0.50,0.67,0.49,0.49,0.59,0.71,0.51,0.75,0.50,0.70,0.54,0.62,0.79,0.71,0.72,0.62,0.62,0.58,0.57,0.88,0.50,0.88,0.48,0.71,0.50,0.63,0.50,0.69,0.70,0.52,0.52,0.66,0.50,0.50,0.50,0.50,0.62,0.62,0.73,0.72,0.60,0.62,0.67,0.63
107-1,NaN,0.85,0.87,0.78,0.77,0.76,0.81,0.79,0.74,0.88,0.75,0.76,0.74,0.79,0.75,0.73,0.68,0.69,0.67,0.72,0.69,0.71,0.67,0.63,0.72,0.60,0.65,0.73,0.68,0.58,0.64,0.66,0.72,0.70,0.69,0.63,0.63,0.58,0.57,0.81,0.50,0.80,0.83,0.60,0.66,0.64,0.66,0.75,0.57,0.61,0.61,0.53,0.55,0.55,0.55,0.66,0.55,0.55,0.55,0.55,0.54,0.54,0.55,0.54
107-2,NaN,0.67,0.75,0.75,0.83,0.71,0.73,0.79,0.73,0.80,0.71,0.73,0.70,0.79,0.82,0.75,0.66,0.79,0.64,0.74,0.67,0.72,0.65,0.59,0.81,0.70,0.67,0.76,0.67,0.68,0.65,0.66,0.78,0.73,0.74,0.72,0.72,0.61,0.60,0.84,0.49,0.84,0.72,0.74,0.67,0.65,0.66,0.79,0.73,0.60,0.59,0.63,0.55,0.55,0.55,0.67,0.60,0.54,0.67,0.66,0.59,0.61,0.62,0.62
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79,NaN,NaN,NaN,NaN,NaN,0.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73,1.00,0.71,NaN,0.76,NaN,NaN,0.90,0.66,0.64,0.49,0.49,0.10,0.10,0.89,NaN,0.89,NaN,NaN,NaN,0.81,NaN,NaN,0.43,NaN,NaN,0.43,NaN,NaN,NaN,NaN,NaN,0.58,0.88,0.88,0.56,0.20,0.82,0.20
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.82,0.81,0.56,0.68,0.54,0.65,0.81,0.63,0.60,0.53,0.55,0.53,0.80,0.52,0.54,0.74,0.52,0.73,0.59,0.50,0.62,0.57,0.74,0.64,0.72,0.71,0.76,0.50,0.71,0.43,0.42,0.78,0.71,0.72,0.56,0.56,0.55,0.56,0.88,0.62,0.88,0.58,0.55,0.49,0.57,0.49,0.79,0.56,0.38,0.38,0.42,0.48,0.48,0.48,0.49,0.41,0.60,0.60,0.60,0.64,0.68,0.59,0.65
110-2,NaN,0.68,0.71,0.78,0.69,0.77,0.76,0.69,0.73,0.79,0.76,0.81,0.80,0.68,0.80,0.64,0.53,0.80,0.57,0.75,0.73,0.72,0.62,0.57,0.67,0.72,0.65,0.76,0.72,0.70,0.64,0.69,0.73,0.70,0.70,0.72,0.72,0.60,0.60,0.54,0.50,0.52,0.65,0.68,0.65,0.63,0.69,0.62,0.66,0.58,0.58,0.60,0.51,0.51,0.50,0.50,0.58,0.54,0.65,0.65,0.66,0.61,0.60,0.62
110-3,NaN,0.59,0.60,0.68,0.73,0.66,0.78,0.59,0.79,0.78,0.66,0.67,0.66,0.60,0.79,0.71,0.58,0.66,0.55,0.75,0.87,0.77,0.65,0.52,0.75,0.61,0.59,0.62,0.88,0.59,0.65,0.65,0.61,0.56,0.58,0.63,0.63,0.60,0.58,0.57,0.48,0.58,0.69,0.64,0.89,0.55,0.88,0.41,0.61,0.69,0.68,0.61,0.56,0.56,0.55,0.83,0.64,0.62,0.62,0.61,0.60,0.54,0.60,0.56
111-1,NaN,0.85,0.83,0.64,0.68,0.62,0.72,0.80,0.69,0.59,0.61,0.62,0.61,0.80,0.52,0.54,0.73,0.56,0.71,0.61,0.50,0.67,0.63,0.73,0.67,0.75,0.69,0.75,0.50,0.73,0.43,0.41,0.77,0.71,0.72,0.63,0.63,0.61,0.61,0.88,0.62,0.87,0.59,0.57,0.48,0.59,0.48,0.78,0.59,0.37,0.37,0.45,0.48,0.48,0.48,0.49,0.43,0.60,0.60,0.60,0.65,0.65,0.62,0.62
111-2,NaN,0.58,0.58,0.74,0.77,0.72,0.83,0.59,0.83,0.85,0.72,0.73,0.71,0.60,0.80,0.71,0.59,0.71,0.55,0.77,0.88,0.80,0.67,0.51,0.75,0.62,0.61,0.62,0.90,0.60,0.65,0.65,0.61,0.55,0.56,0.66,0.66,0.64,0.62,0.57,0.48,0.59,0.69,0.65,0.88,0.54,0.87,0.40,0.63,0.69,0.67,0.62,0.56,0.56,0.55,0.83,0.65,0.63,0.62,0.61,0.61,0.55,0.61,0.55
111-3,NaN,0.45,0.44,0.61,0.66,0.60,0.66,NaN,0.64,0.55,0.60,0.62,0.60,NaN,0.51,0.49,0.49,0.68,0.42,0.65,0.53,0.79,0.58,0.48,0.99,0.62,0.50,NaN,0.55,0.57,0.50,0.52,0.42,0.50,0.53,0.66,0.66,0.61,0.60,NaN,0.49,NaN,0.48,0.66,0.44,0.53,0.44,0.48,0.65,0.49,0.48,0.56,0.50,0.50,0.50,0.50,0.60,0.49,0.55,0.54,0.70,0.44,0.66,0.45
112-1,NaN,0.85,0.80,0.84,0.75,0.81,0.88,0.73,0.87,0.90,0.80,0.84,0.82,0.80,0.85,0.77,0.68,0.81,0.63,0.79,0.84,0.78,0.69,0.69,0.77,0.77,0.73,0.81,0.83,0.75,0.67,0.68,0.81,0.71,0.71,0.74,0.74,0.68,0.67,0.77,0.55,0.77,0.68,0.69,0.78,0.65,0.79,0.73,0.68,0.60,0.60,0.63,0.53,0.53,0.50,0.63,0.60,0.60,0.65,0.65,0.65,0.58,0.60,0.58
112-2,NaN,0.86,0.80,0.84,0.75,0.81,0.88,0.73,0.87,0.90,0.80,0.84,0.82,0.80,0.84,0.75,0.69,0.81,0.63,0.78,0.82,0.78,0.69,0.69,0.77,0.77,0.73,0.81,0.81,0.74,0.67,0.68,0.81,0.71,0.71,0.74,0.74,0.68,0.67,0.78,0.55,0.78,0.68,0.69,0.75,0.65,0.77,0.74,0.67,0.60,0.59,0.62,0.52,0.52,0.50,0.63,0.59,0.60,0.65,0.64,0.64,0.57,0.60,0.58
112-3,NaN,0.86,0.80,0.84,0.75,0.81,0.88,0.72,0.87,0.90,0.80,0.84,0.82,0.78,0.85,0.77,0.69,0.81,0.64,0.79,0.84,0.78,0.69,0.69,0.77,0.76,0.71,0.80,0.83,0.74,0.67,0.68,0.78,0.70,0.71,0.74,0.74,0.66,0.65,0.70,0.55,0.70,0.68,0.68,0.78,0.64,0.79,0.74,0.67,0.60,0.59,0.62,0.53,0.53,0.50,0.63,0.58,0.60,0.67,0.67,0.64,0.61,0.61,0.61
113-1,NaN,0.86,0.81,0.84,0.75,0.80,0.88,0.72,0.87,0.90,0.80,0.84,0.81,0.78,0.84,0.75,0.69,0.80,0.64,0.79,0.82,0.78,0.69,0.70,0.77,0.76,0.71,0.80,0.81,0.74,0.66,0.68,0.78,0.70,0.71,0.74,0.74,0.66,0.65,0.71,0.55,0.71,0.68,0.68,0.75,0.64,0.77,0.74,0.67,0.59,0.59,0.62,0.52,0.52,0.50,0.63,0.58,0.60,0.67,0.67,0.64,0.60,0.61,0.61
113-2,NaN,0.71,0.72,0.81,0.73,0.79,0.81,0.60,0.88,0.90,0.79,0.82,0.78,0.66,0.81,0.72,0.70,0.71,0.67,0.74,0.88,0.80,0.73,0.62,0.75,0.70,0.66,0.63,0.89,0.66,0.66,0.65,0.59,0.59,0.60,0.66,0.66,0.66,0.63,0.55,0.52,0.57,0.69,0.64,0.88,0.55,0.87,0.56,0.61,0.70,0.69,0.60,0.57,0.57,0.55,0.83,0.65,0.59,0.60,0.59,0.59,0.55,0.59,0.56
113-3,NaN,0.87,0.82,0.70,0.78,0.67,0.82,0.74,0.74,0.70,0.65,0.70,0.65,0.73,0.58,0.80,0.66,0.68,0.62,0.68,0.51,0.73,0.67,0.66,0.87,0.71,0.60,0.65,0.51,0.69,0.51,0.52,0.65,0.67,0.67,0.64,0.64,0.59,0.58,0.79,0.56,0.78,0.66,0.58,0.46,0.60,0.46,0.76,0.59,0.43,0.45,0.55,0.48,0.48,0.48,0.47,0.50,0.65,0.57,0.57,0.66,0.47,0.63,0.46
114-1,NaN,0.95,0.89,0.84,0.79,0.83,0.88,0.75,0.83,0.82,0.82,0.81,0.83,0.75,0.73,0.77,0.80,0.83,0.82,0.72,0.75,0.68,0.72,0.73,0.79,0.74,0.78,0.77,0.75,0.69,0.64,0.67,0.82,0.76,0.75,0.73,0.73,0.72,0.72,0.89,0.46,0.88,0.69,0.75,0.73,0.68,0.73,0.82,0.71,0.59,0.60,0.64,0.50,0.50,0.50,0.73,0.64,0.65,0.64,0.64,0.61,0.59,0.62,0.59
115-1,NaN,0.75,0.77,0.86,0.82,0.85,0.81,0.79,0.81,0.92,0.85,0.82,0.85,0.79,0.75,0.80,0.63,0.80,0.64,0.82,0.73,0.81,0.76,0.64,0.83,0.76,0.66,0.75,0.71,0.71,0.68,0.68,0.82,0.74,0.72,0.75,0.75,0.70,0.69,0.88,0.43,0.87,0.79,0.75,0.72,0.69,0.72,0.81,0.71,0.61,0.60,0.63,0.56,0.56,0.56,0.69,0.62,0.55,0.69,0.68,0.62,0.61,0.65,0.60
116-1,NaN,0.49,0.49,0.67,0.61,0.67,0.75,0.54,0.78,0.49,0.67,0.65,0.67,0.54,0.62,0.58,0.49,0.77,0.49,0.66,0.61,0.70,0.65,0.56,0.77,0.62,0.59,0.55,0.57,0.60,0.54,0.62,0.78,0.56,0.55,0.67,0.67,0.65,0.65,0.80,0.50,0.80,0.68,0.72,0.58,0.67,0.62,0.48,0.70,0.50,0.50,0.62,0.50,0.50,0.50,0.54,0.61,0.53,0.71,0.72,0.59,0.63,0.65,0.63
