ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0005783,GO:0070013,GO:0044427,GO:0005887,GO:0005694,GO:0005654,GO:0043233,GO:0044428,GO:0031974,GO:0031226,GO:0030054,GO:0005615,GO:0043005,GO:0005634,GO:0097458,GO:0005856,GO:0070161,GO:0044430,GO:0005730,GO:0044463,GO:0005739,GO:0043234,GO:0042995,GO:0044459,GO:0005912,GO:0032991,GO:0044421,GO:0005576,GO:0044425,GO:0005886,GO:0071944,GO:0043228,GO:0043232,GO:0044446,GO:0044422,GO:0016021,GO:0030424,GO:0031224,GO:0005794,GO:0043231,GO:0005924,GO:0016020,GO:0030055,GO:0012505,GO:0043229,GO:0031988,GO:0031982,GO:0043226,GO:0043230,GO:0065010,GO:0070062,GO:0005925,GO:0043227,GO:0005829,GO:0044424,GO:0005622,GO:0044444,GO:0005623,GO:0005737,GO:0044464
116-2,NaN,0.50,0.50,0.60,0.74,0.60,0.99,0.66,0.99,0.50,0.60,0.59,0.60,0.66,0.66,0.56,0.50,0.71,0.50,0.56,0.62,0.60,0.64,0.50,0.81,0.55,0.58,0.61,0.62,0.53,0.53,0.62,0.53,0.68,0.68,0.67,0.67,0.69,0.69,0.63,0.50,0.63,0.64,0.70,0.64,0.67,0.64,0.48,0.70,0.50,0.50,0.59,0.50,0.50,0.50,0.57,0.56,0.52,0.66,0.67,0.56,0.62,0.62,0.62
117-1,NaN,0.89,0.86,0.80,0.83,0.77,0.88,0.75,0.86,0.90,0.76,0.81,0.76,0.74,0.78,0.72,0.76,0.78,0.77,0.70,0.80,0.73,0.72,0.74,0.75,0.69,0.80,0.69,0.78,0.68,0.67,0.66,0.68,0.64,0.63,0.65,0.65,0.68,0.67,0.67,0.67,0.66,0.70,0.70,0.77,0.61,0.75,0.70,0.68,0.63,0.62,0.61,0.61,0.61,0.62,0.75,0.61,0.56,0.61,0.62,0.59,0.58,0.56,0.56
117-2,NaN,0.73,0.64,0.81,0.66,0.81,NaN,0.98,NaN,0.85,0.81,0.82,0.81,0.98,0.49,0.57,0.47,0.82,0.47,0.95,0.50,0.96,0.50,0.61,0.99,0.68,0.64,0.81,0.50,0.68,0.53,0.55,0.78,0.70,0.69,0.75,0.75,0.78,0.76,0.96,0.49,0.96,0.49,0.68,0.50,0.57,0.50,0.96,0.62,0.53,0.52,0.63,0.49,0.49,0.50,0.50,0.62,0.66,0.59,0.57,0.66,0.51,0.63,0.55
119-1,NaN,0.91,0.87,0.81,0.87,0.79,0.76,0.81,0.83,0.74,0.78,0.80,0.78,0.81,0.79,0.72,0.75,0.80,0.78,0.73,0.79,0.73,0.68,0.83,0.83,0.73,0.78,0.76,0.79,0.73,0.67,0.69,0.80,0.77,0.75,0.65,0.65,0.63,0.62,0.88,0.66,0.87,0.81,0.70,0.74,0.68,0.74,0.75,0.66,0.60,0.60,0.64,0.56,0.56,0.56,0.71,0.64,0.66,0.59,0.59,0.63,0.54,0.59,0.54
120-1,NaN,0.88,0.83,0.86,0.86,0.84,0.88,0.88,0.88,0.84,0.84,0.83,0.84,0.88,0.77,0.80,0.72,0.85,0.74,0.74,0.79,0.76,0.82,0.69,0.88,0.77,0.76,0.86,0.80,0.74,0.75,0.77,0.83,0.77,0.77,0.73,0.73,0.71,0.70,0.88,0.51,0.88,0.80,0.75,0.73,0.67,0.73,0.80,0.71,0.65,0.65,0.65,0.65,0.64,0.64,0.74,0.66,0.65,0.64,0.64,0.61,0.60,0.62,0.60
120-2,NaN,0.49,0.63,0.78,0.82,0.78,0.50,0.83,0.52,0.69,0.78,0.76,0.78,0.82,0.60,0.74,0.50,0.78,0.50,0.66,0.58,0.54,0.63,0.53,0.81,0.65,0.57,0.83,0.58,0.63,0.61,0.66,0.80,0.72,0.70,0.63,0.63,0.60,0.58,0.89,0.50,0.89,0.66,0.70,0.50,0.67,0.50,0.79,0.69,0.56,0.56,0.60,0.50,0.50,0.50,0.50,0.57,0.68,0.64,0.64,0.64,0.56,0.62,0.57
120-3,NaN,0.50,0.50,0.75,0.76,0.75,0.50,0.78,0.49,0.62,0.75,0.74,0.75,0.78,0.50,0.70,0.50,0.78,0.50,0.57,0.50,0.50,0.67,0.50,0.80,0.68,0.50,0.79,0.50,0.65,0.61,0.63,0.80,0.68,0.68,0.62,0.62,0.65,0.63,0.88,0.50,0.88,0.52,0.70,0.50,0.70,0.50,0.54,0.71,0.51,0.52,0.60,0.50,0.50,0.50,0.50,0.58,0.63,0.71,0.72,0.61,0.65,0.57,0.65
121-1,NaN,0.70,0.71,0.63,0.74,0.63,0.58,0.61,0.63,0.49,0.63,0.61,0.63,0.61,0.61,0.57,0.55,0.81,0.66,0.76,0.54,0.79,0.61,0.54,0.83,0.67,0.62,0.64,0.54,0.64,0.54,0.64,0.82,0.68,0.67,0.64,0.64,0.62,0.61,0.90,0.50,0.89,0.75,0.76,0.50,0.69,0.50,0.77,0.72,0.50,0.50,0.65,0.50,0.50,0.50,0.50,0.64,0.53,0.69,0.68,0.62,0.65,0.63,0.65
121-2,NaN,0.75,1.00,0.49,0.65,0.49,0.50,1.00,0.50,0.49,0.49,0.49,0.49,1.00,NaN,0.73,0.50,0.87,0.48,0.50,NaN,0.50,0.50,0.50,NaN,0.66,0.50,0.96,NaN,0.66,0.77,0.77,0.79,0.76,0.76,0.50,0.50,0.45,0.45,0.81,0.50,0.81,NaN,0.79,NaN,0.76,NaN,0.47,0.72,0.58,0.60,0.60,0.56,0.56,0.56,NaN,0.64,0.93,0.74,0.70,0.73,0.92,0.66,0.83
121-3,NaN,0.77,0.77,0.67,0.79,0.66,0.71,0.60,0.74,0.49,0.66,0.63,0.66,0.60,0.58,0.57,0.64,0.82,0.69,0.75,0.57,0.75,0.63,0.64,0.84,0.69,0.65,0.64,0.57,0.66,0.53,0.63,0.81,0.69,0.67,0.67,0.67,0.64,0.63,0.85,0.57,0.85,0.74,0.78,0.54,0.70,0.54,0.77,0.74,0.51,0.51,0.67,0.50,0.50,0.50,0.54,0.66,0.57,0.70,0.69,0.65,0.63,0.66,0.63
122-1,NaN,0.67,0.71,0.67,0.83,0.69,0.71,0.81,0.74,0.58,0.69,0.65,0.69,0.81,0.59,0.59,0.57,0.81,0.57,0.76,0.57,0.76,0.62,0.56,0.80,0.76,0.64,0.73,0.57,0.73,0.54,0.60,0.75,0.65,0.65,0.71,0.71,0.70,0.69,0.88,0.49,0.88,0.57,0.73,0.59,0.69,0.59,0.59,0.70,0.51,0.51,0.61,0.50,0.50,0.50,0.59,0.62,0.52,0.66,0.67,0.62,0.60,0.63,0.60
124-1,NaN,0.88,0.91,0.72,0.76,0.69,0.80,0.69,0.82,0.82,0.69,0.71,0.69,0.65,0.76,0.58,0.77,0.47,0.79,0.78,0.79,0.78,0.62,0.65,0.69,0.52,0.69,0.64,0.79,0.51,0.64,0.68,0.45,0.58,0.58,0.55,0.55,0.52,0.53,0.43,0.69,0.44,0.53,0.37,0.76,0.53,0.76,0.64,0.40,0.65,0.66,0.56,0.56,0.56,0.56,0.76,0.53,0.50,0.43,0.41,0.47,0.32,0.42,0.34
124-2,NaN,0.66,0.61,0.59,0.78,0.59,0.54,0.30,0.55,0.57,0.59,0.64,0.58,0.30,0.64,0.63,0.53,0.62,0.61,0.66,0.63,0.67,0.56,0.48,0.66,0.37,0.54,0.39,0.63,0.38,0.79,0.75,0.32,0.40,0.40,0.44,0.44,0.49,0.50,0.25,0.81,0.25,0.64,0.40,0.67,0.44,0.67,0.39,0.41,0.71,0.71,0.63,0.50,0.50,0.50,0.64,0.63,0.37,0.37,0.36,0.39,0.29,0.39,0.30
124-3,NaN,0.88,0.91,0.72,0.50,0.67,0.81,0.57,0.82,0.82,0.67,0.70,0.67,0.57,0.69,0.55,0.77,0.42,0.79,0.75,0.73,0.77,0.62,0.64,0.58,0.50,0.66,0.57,0.73,0.48,0.61,0.64,0.38,0.51,0.49,0.54,0.54,0.52,0.52,0.33,0.69,0.36,0.42,0.35,0.71,0.51,0.70,0.62,0.38,0.69,0.69,0.55,0.56,0.56,0.56,0.71,0.53,0.50,0.42,0.40,0.44,0.32,0.41,0.34
125-1,NaN,0.69,0.73,0.83,0.80,0.84,0.64,0.75,0.71,0.78,0.83,0.80,0.83,0.74,0.62,0.74,0.59,0.82,0.67,0.75,0.57,0.71,0.65,0.56,0.81,0.70,0.60,0.75,0.58,0.66,0.61,0.66,0.82,0.76,0.75,0.72,0.72,0.71,0.70,0.88,0.49,0.88,0.70,0.75,0.59,0.68,0.59,0.78,0.71,0.52,0.52,0.64,0.50,0.50,0.50,0.56,0.64,0.65,0.65,0.65,0.61,0.60,0.62,0.60
125-2,NaN,0.71,0.71,0.75,0.83,0.75,0.66,0.74,0.80,0.71,0.74,0.74,0.74,0.74,0.70,0.69,0.62,0.79,0.70,0.76,0.68,0.73,0.62,0.57,0.78,0.66,0.65,0.72,0.69,0.63,0.63,0.68,0.76,0.76,0.76,0.67,0.67,0.67,0.67,0.82,0.49,0.82,0.75,0.71,0.71,0.68,0.71,0.78,0.69,0.58,0.57,0.59,0.54,0.54,0.54,0.68,0.59,0.58,0.65,0.65,0.59,0.62,0.60,0.62
125-3,NaN,0.88,0.82,0.83,0.82,0.79,0.76,0.84,0.81,0.87,0.78,0.79,0.78,0.83,0.75,0.75,0.63,0.73,0.62,0.73,0.75,0.77,0.76,0.69,0.80,0.73,0.67,0.78,0.72,0.70,0.71,0.72,0.74,0.68,0.66,0.67,0.67,0.64,0.63,0.85,0.50,0.84,0.69,0.63,0.65,0.60,0.64,0.72,0.61,0.63,0.63,0.63,0.59,0.59,0.59,0.64,0.63,0.56,0.57,0.56,0.56,0.53,0.55,0.52
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.91,0.87,0.86,0.83,0.85,0.91,0.78,0.91,0.82,0.85,0.90,0.84,0.78,0.84,0.73,0.74,0.83,0.71,0.80,0.79,0.76,0.64,0.74,0.75,0.74,0.71,0.76,0.79,0.73,0.64,0.68,0.71,0.72,0.72,0.76,0.76,0.71,0.70,0.77,0.65,0.77,0.79,0.73,0.71,0.64,0.70,0.74,0.69,0.57,0.58,0.62,0.53,0.53,0.53,0.67,0.62,0.62,0.56,0.56,0.60,0.53,0.58,0.52
127-2,NaN,0.86,0.86,0.87,0.81,0.86,0.91,0.82,0.86,0.84,0.84,0.90,0.82,0.87,0.76,0.78,0.68,0.83,0.64,0.82,0.71,0.83,0.66,0.71,0.76,0.77,0.71,0.84,0.72,0.76,0.64,0.67,0.79,0.75,0.75,0.74,0.73,0.73,0.72,0.85,0.63,0.86,0.75,0.73,0.68,0.68,0.68,0.71,0.72,0.55,0.55,0.64,0.51,0.51,0.50,0.65,0.62,0.63,0.66,0.66,0.65,0.57,0.61,0.57
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.71,0.64,0.75,0.68,0.69,0.93,0.77,0.86,0.86,0.67,0.71,0.67,0.77,0.69,0.58,0.63,0.72,0.63,0.74,0.63,0.70,0.58,0.67,0.72,0.62,0.68,0.76,0.60,0.60,0.63,0.64,0.67,0.60,0.59,0.68,0.68,0.56,0.56,0.68,0.53,0.66,0.61,0.57,0.57,0.58,0.57,0.61,0.56,0.60,0.60,0.57,0.61,0.61,0.61,0.53,0.57,0.54,0.56,0.57,0.60,0.51,0.56,0.52
129-1,NaN,0.77,0.73,0.86,0.84,0.84,0.88,0.78,0.80,0.90,0.84,0.84,0.84,0.78,0.83,0.83,0.64,0.82,0.63,0.79,0.79,0.80,0.77,0.64,0.74,0.75,0.69,0.76,0.80,0.72,0.74,0.76,0.71,0.76,0.75,0.72,0.72,0.69,0.68,0.69,0.61,0.69,0.74,0.71,0.76,0.68,0.76,0.72,0.68,0.69,0.68,0.63,0.67,0.66,0.66,0.75,0.64,0.60,0.60,0.60,0.62,0.51,0.59,0.52
129-2,NaN,1.00,1.00,0.90,0.84,0.89,0.91,NaN,0.91,0.92,0.88,0.86,0.88,NaN,0.83,0.74,NaN,0.80,NaN,0.75,0.80,0.64,0.85,NaN,0.76,0.73,0.52,0.95,0.80,0.76,0.63,0.65,0.76,0.76,0.76,0.75,0.75,0.66,0.66,0.28,NaN,0.25,0.67,0.75,0.72,0.64,0.70,0.71,0.69,0.64,0.63,0.45,0.62,0.61,0.61,0.73,0.50,0.76,0.65,0.64,0.70,0.57,0.60,0.57
129-3,NaN,0.77,0.74,0.86,0.84,0.85,0.88,0.78,0.80,0.90,0.84,0.85,0.84,0.78,0.82,0.83,0.64,0.82,0.63,0.79,0.79,0.80,0.78,0.64,0.74,0.75,0.69,0.75,0.79,0.72,0.75,0.76,0.72,0.76,0.75,0.72,0.72,0.69,0.69,0.69,0.61,0.69,0.74,0.72,0.71,0.67,0.72,0.72,0.68,0.69,0.68,0.64,0.66,0.66,0.66,0.69,0.64,0.60,0.61,0.61,0.62,0.51,0.59,0.52
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.67,0.75,0.71,0.73,0.72,0.68,0.76,0.80,0.53,0.72,0.68,0.72,0.76,0.62,0.59,0.60,0.83,0.68,0.70,0.57,0.70,0.65,0.56,0.86,0.70,0.63,0.77,0.58,0.67,0.56,0.64,0.81,0.65,0.66,0.67,0.67,0.65,0.65,0.85,0.49,0.85,0.58,0.77,0.59,0.69,0.59,0.69,0.73,0.50,0.49,0.62,0.50,0.50,0.50,0.56,0.62,0.55,0.71,0.70,0.61,0.63,0.65,0.63
131-2,NaN,0.68,0.75,0.67,0.76,0.68,0.68,0.76,0.77,0.48,0.68,0.65,0.68,0.76,0.59,0.60,0.58,0.82,0.65,0.68,0.58,0.67,0.64,0.55,0.84,0.69,0.62,0.77,0.58,0.67,0.56,0.64,0.82,0.65,0.66,0.66,0.66,0.66,0.66,0.87,0.49,0.87,0.68,0.75,0.59,0.68,0.59,0.73,0.72,0.51,0.50,0.62,0.50,0.50,0.50,0.56,0.61,0.56,0.70,0.69,0.62,0.62,0.65,0.61
131-3,NaN,0.50,0.56,0.69,0.76,0.67,0.76,0.71,0.75,0.51,0.67,0.71,0.68,0.71,0.54,0.69,0.59,0.79,0.50,0.73,0.50,0.70,0.68,0.58,0.82,0.66,0.67,0.77,0.52,0.63,0.58,0.63,0.79,0.66,0.66,0.67,0.67,0.60,0.59,0.83,0.48,0.82,0.58,0.72,0.53,0.68,0.50,0.71,0.68,0.54,0.53,0.62,0.50,0.50,0.52,0.65,0.62,0.55,0.64,0.64,0.57,0.58,0.61,0.58
132-1,NaN,0.86,0.81,0.86,0.83,0.82,0.88,0.73,0.87,0.90,0.82,0.85,0.83,0.79,0.85,0.76,0.66,0.80,0.61,0.77,0.82,0.77,0.71,0.68,0.80,0.75,0.71,0.80,0.83,0.73,0.66,0.67,0.83,0.71,0.72,0.73,0.73,0.69,0.68,0.82,0.57,0.82,0.66,0.69,0.78,0.65,0.80,0.77,0.67,0.60,0.59,0.61,0.54,0.54,0.51,0.68,0.58,0.60,0.67,0.66,0.65,0.60,0.62,0.61
132-2,NaN,0.86,0.82,0.86,0.84,0.82,0.88,0.72,0.87,0.90,0.82,0.85,0.83,0.75,0.85,0.76,0.68,0.79,0.65,0.77,0.82,0.77,0.71,0.68,0.79,0.73,0.69,0.77,0.83,0.71,0.66,0.66,0.79,0.71,0.72,0.73,0.73,0.68,0.67,0.77,0.57,0.76,0.66,0.68,0.78,0.63,0.80,0.77,0.67,0.59,0.59,0.60,0.54,0.54,0.51,0.68,0.56,0.61,0.68,0.68,0.65,0.62,0.62,0.63
65-1,NaN,0.67,0.69,0.74,0.59,0.75,0.76,0.53,0.75,0.88,0.74,0.73,0.74,0.61,0.83,0.66,0.80,0.69,0.77,0.70,0.85,0.69,0.64,0.74,0.72,0.56,0.74,0.56,0.83,0.58,0.66,0.66,0.45,0.51,0.54,0.66,0.66,0.67,0.65,0.44,0.74,0.49,0.61,0.61,0.65,0.48,0.68,0.64,0.61,0.65,0.64,0.61,0.56,0.56,0.56,0.61,0.62,0.51,0.55,0.55,0.51,0.56,0.51,0.54
65-2,NaN,0.59,0.74,0.72,0.63,0.72,0.77,0.61,0.76,0.87,0.72,0.72,0.72,0.73,0.81,0.67,0.82,0.68,0.81,0.69,0.69,0.68,0.57,0.76,0.79,0.62,0.76,0.59,0.67,0.63,0.61,0.62,0.51,0.58,0.60,0.66,0.66,0.65,0.65,0.51,0.61,0.58,0.53,0.61,0.59,0.50,0.64,0.71,0.60,0.61,0.59,0.58,0.55,0.55,0.55,0.58,0.58,0.64,0.57,0.57,0.55,0.59,0.54,0.58
65-3,NaN,0.63,0.77,0.72,0.61,0.72,0.74,0.60,0.75,0.86,0.72,0.71,0.72,0.71,0.82,0.68,0.85,0.67,0.82,0.70,0.68,0.70,0.58,0.78,0.77,0.60,0.76,0.60,0.67,0.61,0.62,0.63,0.50,0.58,0.60,0.65,0.65,0.65,0.64,0.48,0.66,0.56,0.54,0.60,0.60,0.49,0.64,0.74,0.60,0.60,0.60,0.58,0.54,0.54,0.54,0.56,0.58,0.64,0.56,0.56,0.53,0.59,0.53,0.57
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.90,0.88,0.93,0.94,0.88,0.92,0.77,0.82,0.95,0.88,0.91,0.88,0.77,0.88,0.99,0.74,0.88,0.74,0.98,0.69,0.99,1.00,0.65,0.80,0.80,0.76,0.67,0.68,0.75,0.98,0.97,0.71,0.69,0.66,0.83,0.83,0.79,0.79,0.80,0.56,0.80,0.89,0.76,NaN,0.72,NaN,0.87,0.75,0.71,0.78,0.75,NaN,NaN,NaN,NaN,0.76,0.54,0.82,0.82,0.65,0.88,0.82,0.88
69-2,NaN,0.88,0.77,0.86,0.86,0.83,0.82,0.76,0.84,0.96,0.83,0.82,0.82,0.76,0.78,0.76,0.64,0.77,0.62,0.78,0.72,0.77,0.73,0.56,0.77,0.76,0.58,0.74,0.73,0.73,0.66,0.67,0.76,0.64,0.66,0.74,0.74,0.70,0.69,0.83,0.49,0.83,0.72,0.71,0.70,0.67,0.72,0.77,0.70,0.60,0.60,0.63,0.57,0.57,0.57,0.70,0.61,0.52,0.66,0.66,0.60,0.58,0.65,0.59
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.80,0.75,0.85,0.84,0.87,0.88,0.88,0.85,0.87,0.87,0.86,0.86,0.88,0.80,0.74,0.76,0.84,0.75,0.75,0.81,0.75,0.78,0.69,0.78,0.65,0.71,0.92,0.83,0.64,0.62,0.66,0.83,0.77,0.76,0.74,0.73,0.75,0.75,0.79,0.49,0.78,0.65,0.79,0.73,0.67,0.76,0.77,0.77,0.54,0.59,0.63,0.50,0.50,0.50,0.65,0.63,0.69,0.72,0.72,0.69,0.65,0.61,0.65
70-3,NaN,0.62,0.84,0.81,0.81,0.81,0.76,0.65,0.73,0.81,0.81,0.81,0.82,0.65,0.81,0.51,0.68,0.79,0.71,0.66,0.82,0.63,0.50,0.69,0.74,0.61,0.73,0.70,0.82,0.65,0.58,0.58,0.64,0.73,0.72,0.70,0.69,0.71,0.71,0.59,0.48,0.64,0.64,0.73,0.68,0.60,0.67,0.77,0.67,0.55,0.58,0.59,0.50,0.50,0.50,0.50,0.59,0.61,0.61,0.61,0.66,0.58,0.63,0.58
72-1,NaN,0.70,0.72,0.72,0.76,0.71,0.64,0.93,0.67,0.72,0.71,0.69,0.71,0.93,0.59,0.67,0.56,0.76,0.60,0.65,0.55,0.67,0.64,0.56,0.74,0.67,0.63,0.88,0.55,0.64,0.56,0.61,0.73,0.71,0.70,0.61,0.61,0.65,0.64,0.87,0.50,0.87,0.65,0.66,0.56,0.67,0.56,0.66,0.66,0.50,0.51,0.62,0.50,0.50,0.50,0.56,0.58,0.60,0.60,0.60,0.56,0.55,0.57,0.55
