ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0005783,GO:0070013,GO:0044427,GO:0005887,GO:0005694,GO:0005654,GO:0043233,GO:0044428,GO:0031974,GO:0031226,GO:0030054,GO:0005615,GO:0043005,GO:0005634,GO:0097458,GO:0005856,GO:0070161,GO:0044430,GO:0005730,GO:0044463,GO:0005739,GO:0043234,GO:0042995,GO:0044459,GO:0005912,GO:0032991,GO:0044421,GO:0005576,GO:0044425,GO:0005886,GO:0071944,GO:0043228,GO:0043232,GO:0044446,GO:0044422,GO:0016021,GO:0030424,GO:0031224,GO:0005794,GO:0043231,GO:0005924,GO:0016020,GO:0030055,GO:0012505,GO:0043229,GO:0031988,GO:0031982,GO:0043226,GO:0043230,GO:0065010,GO:0070062,GO:0005925,GO:0043227,GO:0005829,GO:0044424,GO:0005622,GO:0044444,GO:0005623,GO:0005737,GO:0044464
72-2,NaN,0.65,0.65,0.70,0.76,0.70,0.55,0.79,0.59,0.67,0.70,0.69,0.70,0.79,0.57,0.65,0.53,0.77,0.53,0.57,0.55,0.57,0.64,0.50,0.74,0.58,0.55,0.79,0.55,0.57,0.56,0.61,0.68,0.72,0.72,0.59,0.59,0.61,0.61,0.77,0.50,0.77,0.66,0.65,0.56,0.69,0.56,0.68,0.66,0.50,0.51,0.61,0.50,0.50,0.50,0.56,0.59,0.60,0.61,0.61,0.57,0.54,0.57,0.54
73-1,NaN,0.82,0.77,0.71,0.78,0.67,0.78,0.69,0.74,0.83,0.67,0.65,0.66,0.68,0.78,0.73,0.69,0.72,0.67,0.76,0.75,0.79,0.65,0.67,0.80,0.62,0.74,0.60,0.75,0.59,0.63,0.65,0.67,0.65,0.65,0.71,0.71,0.63,0.63,0.69,0.64,0.69,0.74,0.68,0.74,0.65,0.74,0.72,0.67,0.56,0.57,0.60,0.56,0.56,0.57,0.71,0.59,0.55,0.61,0.60,0.55,0.56,0.56,0.57
73-2,NaN,0.82,0.78,0.70,0.79,0.66,0.78,0.72,0.77,0.81,0.66,0.64,0.65,0.70,0.79,0.73,0.68,0.72,0.66,0.74,0.77,0.77,0.64,0.63,0.81,0.63,0.72,0.61,0.77,0.60,0.64,0.65,0.67,0.67,0.66,0.70,0.70,0.62,0.61,0.69,0.57,0.69,0.75,0.68,0.76,0.65,0.76,0.72,0.67,0.56,0.57,0.60,0.56,0.56,0.56,0.76,0.59,0.57,0.62,0.61,0.57,0.57,0.56,0.58
73-3,NaN,0.77,0.75,0.66,0.69,0.62,0.70,0.60,0.65,0.82,0.60,0.61,0.60,0.70,0.78,0.59,0.62,0.63,0.63,0.66,0.75,0.69,0.58,0.62,0.73,0.59,0.65,0.59,0.75,0.54,0.60,0.61,0.60,0.60,0.58,0.60,0.60,0.53,0.52,0.57,0.54,0.61,0.72,0.52,0.77,0.55,0.74,0.71,0.51,0.56,0.54,0.49,0.56,0.56,0.50,0.50,0.50,0.51,0.50,0.50,0.51,0.50,0.50,0.50
74-1,NaN,0.73,0.73,0.80,0.67,0.82,0.73,0.67,0.69,0.92,0.82,0.74,0.82,0.67,0.77,0.65,0.60,0.76,0.60,0.69,0.70,0.74,0.75,0.54,0.79,0.62,0.69,0.69,0.70,0.59,0.56,0.63,0.85,0.71,0.68,0.74,0.74,0.65,0.66,0.87,0.48,0.87,0.70,0.72,0.75,0.69,0.75,0.69,0.68,0.51,0.51,0.61,0.50,0.50,0.50,0.70,0.61,0.55,0.64,0.63,0.60,0.60,0.65,0.58
74-2,NaN,0.64,0.65,0.72,0.76,0.72,0.72,0.68,0.73,0.79,0.71,0.74,0.71,0.68,0.68,0.70,0.50,0.80,0.50,0.73,0.67,0.74,0.55,0.47,0.73,0.68,0.58,0.71,0.65,0.65,0.57,0.61,0.81,0.71,0.69,0.68,0.68,0.64,0.64,0.88,0.48,0.88,0.72,0.76,0.68,0.66,0.68,0.76,0.73,0.52,0.52,0.62,0.50,0.50,0.50,0.65,0.60,0.47,0.67,0.68,0.60,0.65,0.61,0.64
75-1,NaN,0.93,0.92,0.94,0.94,0.90,0.92,0.77,0.82,0.95,0.90,0.92,0.90,0.77,0.88,0.99,0.74,0.88,0.74,0.99,0.69,0.99,1.00,0.65,0.84,0.81,0.77,0.68,0.68,0.75,0.99,0.97,0.74,0.74,0.70,0.82,0.82,0.82,0.82,0.81,0.56,0.81,0.90,0.78,NaN,0.71,NaN,0.87,0.76,0.72,0.78,0.76,NaN,NaN,NaN,NaN,0.78,0.54,0.81,0.81,0.64,0.88,0.80,0.88
75-2,NaN,0.91,0.88,0.86,0.86,0.85,0.82,0.79,0.86,0.95,0.85,0.82,0.85,0.79,0.77,0.77,0.68,0.80,0.68,0.80,0.73,0.77,0.74,0.61,0.84,0.75,0.66,0.77,0.73,0.72,0.66,0.67,0.80,0.72,0.72,0.74,0.74,0.70,0.69,0.89,0.49,0.89,0.76,0.75,0.70,0.67,0.72,0.78,0.71,0.60,0.60,0.65,0.57,0.57,0.57,0.70,0.65,0.54,0.66,0.66,0.60,0.60,0.66,0.61
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.74,0.73,0.86,0.73,0.87,0.74,0.74,0.69,0.84,0.87,0.80,0.87,0.74,0.77,0.64,0.59,0.77,0.58,0.66,0.70,0.70,0.80,0.53,0.82,0.65,0.67,0.74,0.70,0.61,0.56,0.62,0.87,0.69,0.66,0.73,0.73,0.67,0.67,0.89,0.48,0.89,0.77,0.71,0.75,0.68,0.75,0.64,0.66,0.53,0.52,0.63,0.50,0.50,0.50,0.70,0.63,0.56,0.64,0.63,0.60,0.59,0.64,0.58
80-2,NaN,0.68,0.74,0.77,0.83,0.77,0.72,0.68,0.73,0.78,0.76,0.77,0.76,0.68,0.71,0.70,0.60,0.82,0.64,0.75,0.67,0.76,0.62,0.54,0.81,0.69,0.68,0.70,0.65,0.66,0.57,0.62,0.81,0.73,0.71,0.70,0.70,0.68,0.68,0.88,0.48,0.88,0.76,0.77,0.68,0.67,0.68,0.76,0.73,0.52,0.51,0.64,0.50,0.50,0.50,0.65,0.63,0.50,0.67,0.68,0.61,0.64,0.63,0.64
81-1,NaN,0.48,0.66,0.51,0.66,0.51,0.54,0.62,0.54,0.50,0.51,0.54,0.52,0.62,0.57,0.68,0.51,0.75,0.51,0.63,0.55,0.64,0.50,0.51,0.70,0.64,0.54,0.61,0.53,0.63,0.58,0.63,0.70,0.58,0.58,0.57,0.57,0.55,0.54,0.72,0.48,0.72,0.61,0.70,0.53,0.60,0.57,0.68,0.67,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.60,0.48,0.62,0.63,0.56,0.60,0.54,0.59
81-2,NaN,0.48,0.66,0.51,0.66,0.51,0.54,0.62,0.54,0.50,0.51,0.54,0.52,0.62,0.57,0.68,0.51,0.75,0.51,0.63,0.55,0.64,0.50,0.51,0.70,0.64,0.54,0.61,0.53,0.63,0.58,0.63,0.70,0.58,0.58,0.57,0.57,0.55,0.54,0.72,0.48,0.72,0.61,0.70,0.53,0.60,0.57,0.68,0.67,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.60,0.48,0.62,0.63,0.56,0.60,0.54,0.59
82-1,NaN,0.65,0.65,0.59,0.66,0.59,0.50,0.77,0.50,0.60,0.59,0.60,0.59,0.77,0.56,0.56,0.50,0.69,0.53,0.63,0.55,0.64,0.57,0.49,0.67,0.68,0.50,0.74,0.55,0.66,0.56,0.58,0.75,0.69,0.68,0.56,0.56,0.57,0.57,0.78,0.50,0.78,0.58,0.65,0.56,0.59,0.56,0.69,0.62,0.52,0.53,0.61,0.50,0.50,0.50,0.53,0.60,0.56,0.50,0.51,0.53,0.48,0.52,0.49
83-1,NaN,0.97,0.96,0.85,0.76,0.82,0.93,0.86,0.93,0.89,0.82,0.87,0.82,0.86,0.81,0.77,0.91,0.84,0.90,0.75,0.84,0.75,0.70,0.89,0.73,0.74,0.87,0.84,0.84,0.74,0.67,0.69,0.78,0.72,0.76,0.71,0.71,0.69,0.68,0.87,0.80,0.86,0.67,0.57,0.77,0.61,0.77,0.70,0.56,0.66,0.66,0.59,0.59,0.59,0.58,0.77,0.58,0.56,0.50,0.50,0.47,0.50,0.46,0.48
83-2,NaN,0.97,0.96,0.85,0.76,0.82,0.94,0.86,0.93,0.89,0.83,0.88,0.83,0.86,0.81,0.78,0.91,0.84,0.90,0.76,0.84,0.76,0.70,0.89,0.73,0.74,0.88,0.84,0.84,0.74,0.67,0.69,0.78,0.72,0.74,0.72,0.72,0.69,0.68,0.87,0.81,0.87,0.67,0.57,0.77,0.62,0.77,0.71,0.56,0.68,0.68,0.59,0.59,0.59,0.58,0.77,0.58,0.57,0.50,0.50,0.48,0.49,0.46,0.47
84-1,NaN,0.83,0.76,0.61,0.50,0.59,0.68,0.52,0.70,0.69,0.59,0.65,0.59,0.52,0.45,0.48,0.65,0.59,0.72,0.56,0.48,0.48,0.52,0.59,0.71,0.69,0.59,0.68,0.49,0.74,0.40,0.36,0.81,0.67,0.79,0.52,0.52,0.56,0.55,0.82,0.67,0.82,0.59,0.59,0.49,0.63,0.49,0.80,0.57,0.39,0.40,0.55,0.50,0.50,0.50,0.50,0.56,0.65,0.57,0.57,0.58,0.65,0.61,0.65
85-1,NaN,0.77,0.71,0.82,0.84,0.82,0.85,0.88,0.81,0.95,0.80,0.82,0.80,0.87,0.79,0.66,0.63,0.81,0.63,0.78,0.76,0.78,0.70,0.67,0.82,0.75,0.67,0.81,0.74,0.72,0.66,0.69,0.73,0.75,0.75,0.70,0.70,0.67,0.65,0.79,0.65,0.78,0.70,0.72,0.67,0.65,0.67,0.74,0.69,0.59,0.59,0.61,0.56,0.56,0.56,0.60,0.60,0.56,0.64,0.64,0.58,0.59,0.57,0.59
85-2,NaN,0.74,0.66,0.77,0.80,0.75,0.84,0.81,0.78,0.91,0.73,0.75,0.73,0.80,0.79,0.77,0.54,0.81,0.52,0.78,0.79,0.75,0.70,0.58,0.78,0.69,0.58,0.74,0.76,0.65,0.70,0.74,0.61,0.68,0.67,0.67,0.67,0.64,0.62,0.63,0.61,0.61,0.69,0.67,0.72,0.60,0.72,0.61,0.64,0.65,0.64,0.71,0.56,0.56,0.56,0.69,0.71,0.52,0.62,0.61,0.51,0.57,0.52,0.58
86-1,NaN,0.70,0.66,0.57,0.66,0.56,0.55,0.67,0.54,0.54,0.56,0.60,0.56,0.67,0.57,0.56,0.52,0.71,0.51,0.68,0.55,0.66,0.52,0.49,0.70,0.61,0.55,0.66,0.55,0.60,0.53,0.54,0.62,0.64,0.63,0.59,0.59,0.60,0.59,0.62,0.49,0.62,0.52,0.68,0.56,0.60,0.56,0.49,0.65,0.51,0.50,0.60,0.50,0.50,0.50,0.56,0.58,0.53,0.60,0.61,0.59,0.53,0.56,0.55
86-2,NaN,0.70,0.66,0.57,0.66,0.56,0.55,0.67,0.54,0.54,0.56,0.60,0.56,0.67,0.57,0.56,0.52,0.71,0.51,0.68,0.55,0.66,0.52,0.49,0.70,0.61,0.55,0.66,0.55,0.60,0.53,0.54,0.62,0.64,0.63,0.59,0.59,0.60,0.59,0.62,0.49,0.62,0.52,0.68,0.56,0.60,0.56,0.49,0.65,0.51,0.50,0.60,0.50,0.50,0.50,0.56,0.58,0.53,0.60,0.61,0.59,0.53,0.56,0.55
86-3,NaN,0.66,0.66,0.61,0.70,0.61,0.49,0.82,0.49,0.55,0.61,0.60,0.61,0.82,0.58,0.61,0.48,0.78,0.47,0.64,0.56,0.62,0.54,0.48,0.76,0.66,0.52,0.80,0.56,0.64,0.55,0.57,0.68,0.67,0.66,0.58,0.58,0.56,0.55,0.77,0.49,0.77,0.56,0.75,0.57,0.64,0.57,0.48,0.72,0.50,0.49,0.61,0.50,0.50,0.50,0.57,0.59,0.57,0.66,0.65,0.62,0.60,0.61,0.61
87-1,NaN,0.86,0.84,0.68,0.81,0.69,0.68,0.75,0.73,0.62,0.68,0.66,0.68,0.75,0.68,0.69,0.65,0.78,0.69,0.74,0.68,0.70,0.62,0.59,0.79,0.63,0.63,0.77,0.68,0.63,0.60,0.65,0.81,0.77,0.77,0.65,0.65,0.64,0.63,0.92,0.47,0.91,0.75,0.67,0.66,0.68,0.66,0.73,0.64,0.56,0.56,0.60,0.50,0.50,0.50,0.63,0.59,0.59,0.59,0.59,0.59,0.57,0.56,0.56
87-2,NaN,0.86,0.84,0.68,0.81,0.69,0.68,0.75,0.73,0.62,0.68,0.66,0.68,0.75,0.68,0.65,0.64,0.76,0.68,0.75,0.67,0.71,0.62,0.58,0.79,0.64,0.63,0.78,0.67,0.64,0.59,0.65,0.85,0.77,0.77,0.65,0.65,0.64,0.63,0.92,0.47,0.93,0.74,0.66,0.66,0.70,0.66,0.72,0.63,0.56,0.56,0.59,0.50,0.50,0.50,0.63,0.59,0.60,0.59,0.60,0.57,0.59,0.55,0.58
87-3,NaN,0.81,0.85,0.69,0.79,0.70,0.65,0.70,0.72,0.71,0.70,0.70,0.70,0.70,0.70,0.59,0.58,0.76,0.62,0.75,0.65,0.75,0.59,0.59,0.87,0.70,0.62,0.75,0.65,0.67,0.55,0.62,0.73,0.71,0.70,0.66,0.66,0.63,0.61,0.87,0.49,0.86,0.65,0.68,0.64,0.66,0.64,0.73,0.63,0.52,0.52,0.57,0.50,0.50,0.50,0.60,0.58,0.55,0.59,0.59,0.59,0.59,0.57,0.57
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.51,0.50,0.48,0.46,0.48,NaN,NaN,NaN,0.66,0.48,0.46,0.48,NaN,0.55,0.49,NaN,0.50,NaN,0.43,0.58,0.49,0.45,NaN,0.50,0.54,0.47,0.96,0.58,0.54,0.50,0.49,0.68,0.67,0.71,0.37,0.37,0.38,0.38,NaN,NaN,NaN,0.43,0.47,0.59,0.57,0.49,NaN,0.47,0.49,0.49,0.46,0.49,0.49,0.49,0.59,0.46,0.69,0.49,0.49,0.62,0.48,0.53,0.48
91-2,NaN,0.50,0.50,0.50,0.46,0.49,NaN,NaN,NaN,0.67,0.49,0.47,0.49,NaN,0.61,0.49,NaN,0.53,NaN,0.45,0.58,0.51,0.45,NaN,0.50,0.56,0.47,0.94,0.58,0.57,0.50,0.49,0.65,0.74,0.74,0.38,0.38,0.41,0.41,NaN,NaN,NaN,0.43,0.49,0.59,0.55,0.59,NaN,0.50,0.49,0.49,0.52,0.49,0.49,0.49,0.59,0.51,0.69,0.49,0.49,0.59,0.49,0.51,0.49
91-3,NaN,0.71,0.71,0.61,0.54,0.63,NaN,NaN,NaN,0.51,0.63,0.56,0.63,NaN,0.73,0.52,NaN,0.49,NaN,0.57,0.38,0.51,0.58,NaN,0.54,0.38,0.58,0.99,0.38,0.43,0.49,0.49,0.96,0.63,0.65,0.64,0.64,0.56,0.56,NaN,NaN,NaN,0.68,0.50,0.38,0.59,0.70,NaN,0.50,0.50,0.51,0.49,0.53,0.53,0.53,0.38,0.49,0.39,0.47,0.47,0.46,0.47,0.51,0.47
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81,NaN,NaN,NaN,NaN,NaN,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56,0.97,0.81,NaN,0.62,NaN,NaN,0.82,0.71,0.70,0.46,0.46,0.74,0.72,0.81,NaN,0.81,NaN,NaN,NaN,0.77,NaN,NaN,0.47,NaN,NaN,0.46,NaN,NaN,NaN,NaN,NaN,0.50,0.56,0.56,0.35,0.50,0.66,0.50
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.76,NaN,NaN,NaN,NaN,NaN,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65,0.96,0.69,NaN,0.67,NaN,NaN,0.69,0.70,0.69,0.44,0.44,0.71,0.65,0.76,NaN,0.76,NaN,NaN,NaN,0.72,NaN,NaN,0.41,NaN,NaN,0.38,NaN,NaN,NaN,NaN,NaN,0.48,0.53,0.53,0.32,0.50,0.57,0.50
94-1,NaN,0.74,0.79,0.75,0.76,0.74,0.73,0.73,0.75,0.76,0.74,0.72,0.74,0.73,0.63,0.59,0.61,0.79,0.68,0.74,0.63,0.69,0.63,0.58,0.81,0.70,0.64,0.72,0.63,0.68,0.57,0.63,0.78,0.69,0.69,0.69,0.69,0.68,0.67,0.85,0.54,0.85,0.71,0.73,0.65,0.68,0.65,0.70,0.70,0.53,0.53,0.63,0.50,0.50,0.50,0.62,0.64,0.51,0.64,0.64,0.61,0.56,0.62,0.56
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.49,0.49,0.57,0.47,0.54,0.49,NaN,0.48,0.66,0.52,0.54,0.52,NaN,0.53,0.49,NaN,0.54,NaN,0.62,0.51,0.65,0.48,NaN,0.61,0.49,0.42,0.80,0.52,0.51,0.43,0.46,0.53,0.54,0.53,0.48,0.48,0.50,0.50,0.78,NaN,0.77,0.58,0.52,0.53,0.47,0.53,0.51,0.50,0.51,0.51,0.50,0.49,0.49,0.49,0.53,0.54,0.57,0.50,0.50,0.51,0.50,0.52,0.50
96-2,NaN,0.48,0.47,0.58,0.48,0.57,0.63,NaN,0.63,0.51,0.56,0.58,0.58,NaN,0.49,0.50,NaN,0.50,NaN,0.51,0.51,0.55,0.48,NaN,0.51,0.49,0.37,0.27,0.52,0.51,0.49,0.50,0.49,0.45,0.44,0.48,0.48,0.51,0.51,0.33,NaN,0.32,0.42,0.50,0.47,0.46,0.47,0.64,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.47,0.52,0.54,0.50,0.50,0.51,0.50,0.51,0.50
96-3,NaN,0.48,0.47,0.53,0.47,0.54,0.52,NaN,0.51,0.57,0.53,0.52,0.53,NaN,0.58,0.50,NaN,0.50,NaN,0.57,0.50,0.53,0.55,NaN,0.45,0.47,0.59,0.52,0.51,0.50,0.53,0.52,0.45,0.55,0.52,0.50,0.50,0.51,0.51,0.30,NaN,0.29,0.60,0.51,0.49,0.52,0.49,0.43,0.50,0.50,0.50,0.50,0.51,0.51,0.51,0.49,0.50,0.50,0.50,0.50,0.53,0.50,0.52,0.50
97-1,NaN,0.55,0.57,0.66,0.65,0.68,0.69,0.66,0.76,0.57,0.68,0.65,0.68,0.66,0.56,0.56,0.53,0.78,0.53,0.61,0.52,0.61,0.64,0.53,0.72,0.56,0.55,0.68,0.52,0.53,0.54,0.62,0.81,0.65,0.64,0.64,0.64,0.61,0.62,0.84,0.50,0.84,0.66,0.74,0.50,0.63,0.50,0.74,0.72,0.51,0.51,0.64,0.50,0.50,0.50,0.50,0.63,0.56,0.68,0.68,0.59,0.62,0.61,0.64
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.83,0.83,0.58,0.67,0.55,0.67,0.74,0.69,0.57,0.55,0.53,0.55,0.74,0.47,0.55,0.88,0.53,0.88,0.60,0.47,0.62,0.56,0.84,0.73,0.60,0.72,0.73,0.45,0.60,0.53,0.52,0.74,0.60,0.61,0.57,0.57,0.44,0.45,0.82,0.79,0.82,0.47,0.54,0.38,0.62,0.37,0.73,0.53,0.48,0.47,0.55,0.50,0.50,0.73,0.38,0.56,0.53,0.55,0.55,0.49,0.56,0.55,0.57
99-1,NaN,0.70,0.80,0.80,0.81,0.78,0.74,0.86,0.78,0.85,0.77,0.80,0.77,0.85,0.83,0.72,0.69,0.80,0.67,0.77,0.77,0.73,0.69,0.77,0.78,0.71,0.73,0.81,0.77,0.67,0.64,0.65,0.69,0.72,0.71,0.68,0.68,0.67,0.65,0.73,0.67,0.72,0.70,0.75,0.63,0.65,0.63,0.75,0.73,0.58,0.58,0.61,0.55,0.55,0.55,0.63,0.60,0.61,0.67,0.66,0.63,0.61,0.63,0.63
