ID-model,GO:0005575,GO:0031981,GO:0044430,GO:0005739,GO:0070013,GO:0044428,GO:0031974,GO:0043233,GO:0044456,GO:0009986,GO:0045202,GO:0005783,GO:0005856,GO:0005929,GO:0005829,GO:0044427,GO:0005634,GO:0005694,GO:0044459,GO:0005794,GO:0048471,GO:0000785,GO:0016023,GO:0044422,GO:0031410,GO:0043228,GO:0043232,GO:0044463,GO:0005886,GO:0044446,GO:0071944,GO:0044425,GO:0042995,GO:0000228,GO:0043231,GO:0043234,GO:0097458,GO:0005576,GO:0043229,GO:0005615,GO:0044424,GO:0032991,GO:0005622,GO:0005912,GO:0070161,GO:0044421,GO:0043227,GO:0043226,GO:0044444,GO:0030055,GO:0031988,GO:0031982,GO:0016020,GO:0030054,GO:0044464,GO:0005925,GO:0005623,GO:0005924,GO:0005737,GO:0012505,GO:0065010,GO:0043230,GO:0031090,GO:0070062,GO:0043005,GO:0005654
116-2,NaN,0.53,0.86,0.81,0.53,0.53,0.53,0.53,0.50,0.50,0.57,0.65,0.73,0.59,0.49,0.78,0.61,0.78,0.50,0.59,0.50,0.75,0.49,0.78,0.49,0.67,0.67,0.50,0.53,0.79,0.52,0.65,0.58,0.50,0.61,0.68,0.54,0.57,0.71,0.52,0.68,0.69,0.68,0.50,0.50,0.53,0.56,0.67,0.62,0.50,0.51,0.51,0.59,0.58,0.60,0.50,0.60,0.50,0.58,0.69,0.50,0.50,0.61,0.50,0.60,0.52
117-1,NaN,0.82,0.76,0.84,0.78,0.77,0.76,0.77,0.91,0.83,0.84,0.76,0.71,0.89,0.77,0.87,0.76,0.87,0.81,0.77,0.73,0.88,0.80,0.72,0.79,0.68,0.68,0.71,0.79,0.72,0.79,0.75,0.76,0.83,0.72,0.70,0.70,0.66,0.72,0.64,0.72,0.71,0.70,0.62,0.64,0.61,0.60,0.62,0.73,0.62,0.57,0.56,0.64,0.67,0.66,0.64,0.66,0.63,0.66,0.50,0.59,0.59,0.49,0.56,0.62,0.90
117-2,NaN,0.49,0.92,0.74,0.48,0.52,0.48,0.48,0.70,0.50,0.77,0.98,0.67,0.82,0.49,0.92,0.60,0.92,0.79,0.49,0.50,0.92,0.67,0.76,0.67,0.72,0.72,0.48,0.70,0.75,0.69,0.70,0.61,0.50,0.54,0.70,0.47,0.52,0.67,0.56,0.64,0.66,0.64,0.49,0.49,0.53,0.55,0.74,0.62,0.49,0.50,0.51,0.66,0.72,0.55,0.50,0.55,0.50,0.56,0.72,0.50,0.50,0.44,0.50,0.48,0.50
119-1,NaN,0.87,0.80,0.91,0.85,0.84,0.83,0.84,0.91,0.73,0.88,0.88,0.72,0.88,0.68,0.82,0.79,0.81,0.71,0.82,0.70,0.82,0.70,0.72,0.70,0.70,0.70,0.78,0.70,0.71,0.71,0.73,0.78,0.82,0.70,0.66,0.66,0.67,0.68,0.67,0.66,0.65,0.65,0.55,0.54,0.64,0.63,0.65,0.69,0.57,0.58,0.59,0.62,0.55,0.58,0.58,0.58,0.57,0.63,0.64,0.54,0.54,0.61,0.54,0.62,0.87
120-1,NaN,0.92,0.92,0.93,0.88,0.88,0.86,0.88,0.90,0.82,0.90,0.89,0.87,0.88,0.73,0.89,0.83,0.87,0.79,0.78,0.69,0.90,0.79,0.73,0.78,0.78,0.78,0.74,0.75,0.73,0.74,0.75,0.79,0.89,0.73,0.76,0.73,0.70,0.69,0.77,0.64,0.71,0.63,0.74,0.74,0.66,0.64,0.64,0.68,0.79,0.60,0.61,0.66,0.56,0.54,0.81,0.54,0.80,0.61,0.78,0.57,0.57,0.72,0.56,0.66,0.93
120-2,NaN,0.86,0.72,0.92,0.83,0.84,0.82,0.83,0.57,0.62,0.71,0.83,0.87,0.62,0.77,0.50,0.79,0.62,0.70,0.66,0.50,0.50,0.73,0.57,0.73,0.72,0.72,0.55,0.74,0.61,0.74,0.71,0.68,0.62,0.68,0.66,0.50,0.61,0.64,0.69,0.64,0.63,0.64,0.55,0.55,0.56,0.64,0.64,0.68,0.50,0.55,0.56,0.65,0.60,0.53,0.50,0.53,0.50,0.61,0.70,0.50,0.50,0.74,0.50,0.50,0.87
120-3,NaN,0.82,0.53,0.92,0.81,0.79,0.80,0.81,0.50,0.53,0.50,0.70,0.62,0.50,0.64,0.50,0.75,0.65,0.67,0.56,0.50,0.50,0.53,0.63,0.52,0.59,0.59,0.50,0.73,0.66,0.73,0.68,0.50,0.67,0.66,0.72,0.50,0.58,0.65,0.67,0.67,0.70,0.67,0.50,0.50,0.56,0.58,0.57,0.65,0.50,0.50,0.51,0.66,0.55,0.60,0.50,0.60,0.50,0.59,0.59,0.50,0.50,0.67,0.50,0.50,0.86
121-1,NaN,0.55,0.81,0.91,0.55,0.56,0.56,0.55,0.78,0.50,0.87,0.78,0.77,0.71,0.49,0.76,0.83,0.76,0.49,0.59,0.49,0.74,0.68,0.72,0.68,0.74,0.74,0.55,0.61,0.73,0.60,0.75,0.63,0.50,0.74,0.68,0.65,0.58,0.70,0.59,0.66,0.68,0.65,0.57,0.57,0.52,0.63,0.63,0.69,0.57,0.51,0.51,0.71,0.62,0.56,0.57,0.57,0.57,0.65,0.73,0.50,0.50,0.67,0.50,0.56,0.52
121-2,NaN,0.46,0.50,1.00,0.46,0.45,0.46,0.46,0.50,NaN,0.50,0.50,1.00,0.50,0.46,0.49,0.59,0.49,NaN,0.47,NaN,0.49,0.49,0.50,0.49,0.70,0.70,0.75,1.00,0.43,1.00,NaN,0.67,0.49,0.57,0.69,NaN,0.53,0.57,1.00,0.79,0.69,0.79,NaN,NaN,0.54,0.59,0.59,0.75,NaN,0.53,0.53,0.67,NaN,0.89,NaN,0.89,NaN,0.78,0.50,0.50,0.50,0.49,0.50,NaN,NaN
121-3,NaN,0.61,0.77,0.91,0.60,0.61,0.61,0.60,0.76,0.50,0.86,0.72,0.72,0.84,0.47,0.81,0.83,0.81,0.51,0.62,0.49,0.80,0.67,0.76,0.67,0.71,0.71,0.70,0.68,0.76,0.68,0.74,0.72,0.49,0.78,0.68,0.60,0.59,0.74,0.61,0.70,0.65,0.69,0.56,0.56,0.54,0.62,0.64,0.74,0.56,0.52,0.52,0.70,0.62,0.61,0.56,0.61,0.56,0.67,0.73,0.50,0.50,0.63,0.50,0.55,0.51
122-1,NaN,0.56,0.71,0.87,0.55,0.56,0.54,0.55,0.72,0.50,0.76,0.65,0.74,0.68,0.72,0.73,0.79,0.73,0.60,0.66,0.49,0.71,0.73,0.71,0.73,0.67,0.67,0.56,0.65,0.72,0.64,0.65,0.58,0.54,0.72,0.58,0.53,0.57,0.71,0.59,0.68,0.57,0.67,0.50,0.50,0.54,0.62,0.65,0.67,0.50,0.52,0.52,0.65,0.56,0.58,0.50,0.58,0.50,0.65,0.56,0.50,0.50,0.46,0.50,0.52,0.53
124-1,NaN,0.85,0.72,0.67,0.79,0.82,0.72,0.79,0.79,0.63,0.76,0.71,0.72,0.76,0.67,0.72,0.52,0.72,0.67,0.62,0.76,0.77,0.53,0.51,0.53,0.50,0.50,0.66,0.63,0.52,0.65,0.54,0.72,0.79,0.41,0.53,0.77,0.67,0.41,0.58,0.42,0.51,0.42,0.74,0.74,0.60,0.53,0.52,0.46,0.72,0.60,0.60,0.52,0.65,0.43,0.73,0.42,0.73,0.40,0.56,0.50,0.50,0.47,0.50,0.72,0.83
124-2,NaN,0.69,0.43,0.51,0.67,0.64,0.65,0.67,0.59,0.55,0.55,0.62,0.48,0.52,0.30,0.66,0.57,0.66,0.47,0.58,0.55,0.64,0.41,0.46,0.41,0.36,0.36,0.42,0.44,0.47,0.45,0.46,0.43,0.54,0.37,0.32,0.59,0.67,0.37,0.60,0.39,0.35,0.39,0.56,0.56,0.69,0.52,0.51,0.34,0.56,0.63,0.63,0.48,0.56,0.40,0.56,0.40,0.56,0.35,0.45,0.50,0.50,0.44,0.50,0.39,0.47
124-3,NaN,0.81,0.69,0.65,0.61,0.75,0.51,0.61,0.79,0.63,0.76,0.58,0.66,0.68,0.67,0.61,0.42,0.61,0.60,0.53,0.76,0.69,0.60,0.40,0.60,0.45,0.45,0.65,0.54,0.40,0.56,0.42,0.71,0.68,0.34,0.54,0.78,0.66,0.33,0.54,0.36,0.52,0.36,0.72,0.72,0.60,0.50,0.48,0.44,0.63,0.64,0.65,0.39,0.64,0.38,0.64,0.38,0.64,0.40,0.50,0.50,0.50,0.48,0.50,0.72,0.83
125-1,NaN,0.65,0.91,0.89,0.63,0.66,0.63,0.63,0.81,0.57,0.83,0.84,0.85,0.70,0.79,0.75,0.82,0.75,0.71,0.73,0.50,0.74,0.70,0.75,0.70,0.77,0.77,0.67,0.73,0.75,0.72,0.72,0.68,0.63,0.70,0.77,0.68,0.61,0.68,0.67,0.64,0.73,0.63,0.55,0.55,0.57,0.61,0.63,0.72,0.55,0.53,0.53,0.67,0.59,0.54,0.55,0.54,0.55,0.62,0.73,0.51,0.51,0.71,0.50,0.53,0.52
125-2,NaN,0.78,0.90,0.87,0.74,0.74,0.73,0.73,0.87,0.79,0.85,0.84,0.83,0.84,0.73,0.81,0.71,0.80,0.78,0.71,0.68,0.81,0.71,0.62,0.71,0.78,0.78,0.73,0.72,0.61,0.74,0.74,0.74,0.66,0.60,0.76,0.64,0.64,0.59,0.65,0.55,0.74,0.55,0.57,0.57,0.62,0.52,0.52,0.67,0.59,0.55,0.56,0.67,0.59,0.50,0.59,0.50,0.59,0.60,0.68,0.53,0.53,0.63,0.52,0.60,0.52
125-3,NaN,0.91,0.80,0.87,0.88,0.85,0.86,0.87,0.85,0.78,0.86,0.78,0.72,0.83,0.76,0.84,0.77,0.84,0.79,0.69,0.77,0.86,0.80,0.71,0.80,0.68,0.68,0.77,0.73,0.71,0.70,0.73,0.74,0.89,0.70,0.64,0.69,0.69,0.70,0.74,0.67,0.63,0.67,0.62,0.62,0.64,0.65,0.66,0.60,0.66,0.61,0.61,0.57,0.51,0.62,0.67,0.61,0.66,0.54,0.69,0.53,0.53,0.59,0.52,0.60,0.94
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.89,0.90,0.88,0.86,0.86,0.84,0.86,0.86,0.65,0.85,0.82,0.81,0.73,0.70,0.83,0.79,0.83,0.77,0.83,0.55,0.83,0.75,0.73,0.74,0.77,0.77,0.67,0.76,0.74,0.77,0.72,0.74,0.84,0.69,0.74,0.73,0.65,0.70,0.67,0.65,0.74,0.64,0.57,0.57,0.61,0.62,0.66,0.74,0.58,0.57,0.57,0.63,0.55,0.55,0.59,0.55,0.59,0.68,0.61,0.53,0.53,0.51,0.52,0.57,0.81
127-2,NaN,0.90,0.89,0.89,0.88,0.86,0.85,0.87,0.88,0.70,0.89,0.82,0.81,0.73,0.74,0.82,0.79,0.82,0.76,0.83,0.69,0.83,0.76,0.79,0.75,0.75,0.76,0.75,0.78,0.78,0.78,0.75,0.75,0.85,0.72,0.76,0.73,0.68,0.75,0.68,0.71,0.74,0.71,0.62,0.60,0.60,0.63,0.69,0.73,0.63,0.57,0.58,0.64,0.63,0.60,0.59,0.60,0.59,0.66,0.60,0.52,0.53,0.52,0.50,0.57,0.91
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.74,0.83,0.83,0.70,0.70,0.69,0.68,0.89,0.74,0.88,0.69,0.82,0.57,0.53,0.75,0.68,0.74,0.77,0.69,0.64,0.77,0.62,0.46,0.62,0.65,0.65,0.69,0.73,0.46,0.72,0.65,0.59,0.94,0.51,0.69,0.63,0.60,0.46,0.60,0.46,0.64,0.46,0.73,0.73,0.58,0.52,0.48,0.53,0.69,0.57,0.57,0.60,0.63,0.44,0.71,0.44,0.70,0.54,0.49,0.56,0.56,0.42,0.56,0.58,0.78
129-1,NaN,0.92,0.93,0.86,0.89,0.87,0.87,0.89,0.85,0.81,0.85,0.80,0.87,0.90,0.77,0.75,0.80,0.80,0.78,0.79,0.70,0.78,0.77,0.74,0.77,0.75,0.75,0.71,0.81,0.75,0.81,0.72,0.71,0.86,0.70,0.77,0.67,0.69,0.69,0.74,0.65,0.75,0.64,0.67,0.66,0.65,0.67,0.67,0.68,0.57,0.64,0.64,0.65,0.60,0.57,0.58,0.56,0.58,0.62,0.56,0.61,0.61,0.49,0.60,0.58,0.87
129-2,NaN,0.89,0.94,0.88,0.88,0.88,0.88,0.88,0.93,0.72,0.92,0.75,0.72,0.92,0.75,0.89,0.79,0.89,0.64,0.82,0.71,0.94,0.83,0.80,0.83,0.73,0.73,0.62,0.75,0.82,0.76,0.60,0.82,0.91,0.73,0.72,0.79,0.63,0.72,0.66,0.70,0.73,0.70,0.63,0.62,0.59,0.60,0.57,0.75,0.49,0.62,0.61,0.58,0.52,0.66,0.52,0.66,0.51,0.69,0.83,0.55,0.55,0.82,0.54,0.30,0.82
129-3,NaN,0.92,0.93,0.87,0.90,0.87,0.88,0.90,0.85,0.81,0.85,0.80,0.87,0.90,0.77,0.75,0.80,0.80,0.78,0.79,0.73,0.77,0.77,0.74,0.77,0.75,0.75,0.70,0.81,0.76,0.81,0.72,0.70,0.85,0.71,0.77,0.66,0.69,0.69,0.75,0.65,0.75,0.65,0.66,0.65,0.65,0.67,0.67,0.68,0.59,0.64,0.64,0.65,0.60,0.56,0.61,0.56,0.60,0.62,0.56,0.59,0.59,0.49,0.58,0.59,0.88
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.59,0.78,0.89,0.58,0.59,0.58,0.58,0.76,0.49,0.74,0.75,0.80,0.74,0.65,0.79,0.82,0.79,0.63,0.66,0.54,0.78,0.74,0.74,0.74,0.73,0.73,0.64,0.68,0.73,0.68,0.76,0.69,0.55,0.74,0.68,0.61,0.60,0.73,0.61,0.68,0.64,0.67,0.55,0.55,0.55,0.62,0.67,0.70,0.55,0.52,0.53,0.67,0.61,0.56,0.55,0.56,0.55,0.63,0.68,0.51,0.51,0.60,0.50,0.59,0.53
131-2,NaN,0.55,0.82,0.92,0.54,0.56,0.55,0.54,0.78,0.50,0.81,0.76,0.80,0.76,0.63,0.79,0.82,0.79,0.59,0.66,0.54,0.78,0.71,0.76,0.71,0.74,0.74,0.64,0.67,0.75,0.66,0.74,0.69,0.50,0.76,0.69,0.63,0.60,0.74,0.61,0.69,0.65,0.68,0.55,0.55,0.55,0.65,0.68,0.72,0.55,0.52,0.53,0.67,0.60,0.56,0.55,0.56,0.55,0.65,0.69,0.50,0.50,0.61,0.50,0.59,0.53
131-3,NaN,0.76,0.84,0.89,0.73,0.73,0.72,0.73,0.50,0.52,0.73,0.88,0.80,0.82,0.64,0.76,0.80,0.75,0.63,0.76,0.65,0.75,0.66,0.79,0.65,0.72,0.72,0.63,0.68,0.79,0.69,0.72,0.71,0.71,0.75,0.72,0.50,0.61,0.75,0.63,0.71,0.66,0.71,0.49,0.50,0.57,0.62,0.67,0.72,0.50,0.52,0.52,0.66,0.49,0.65,0.54,0.65,0.50,0.64,0.80,0.50,0.50,0.71,0.50,0.59,0.62
132-1,NaN,0.83,0.91,0.81,0.80,0.78,0.80,0.79,0.89,0.82,0.89,0.71,0.84,0.89,0.77,0.82,0.70,0.82,0.75,0.74,0.48,0.83,0.72,0.67,0.71,0.73,0.73,0.77,0.71,0.68,0.73,0.67,0.76,0.82,0.65,0.70,0.70,0.62,0.66,0.65,0.64,0.68,0.65,0.63,0.62,0.60,0.57,0.61,0.69,0.64,0.53,0.54,0.63,0.64,0.55,0.56,0.55,0.60,0.62,0.55,0.52,0.52,0.53,0.50,0.62,0.87
132-2,NaN,0.84,0.91,0.79,0.81,0.78,0.82,0.80,0.89,0.82,0.89,0.70,0.82,0.89,0.75,0.81,0.70,0.81,0.75,0.74,0.48,0.82,0.72,0.65,0.71,0.71,0.71,0.78,0.72,0.67,0.74,0.65,0.76,0.82,0.65,0.70,0.71,0.62,0.63,0.65,0.63,0.69,0.63,0.63,0.62,0.60,0.58,0.60,0.67,0.64,0.52,0.54,0.62,0.64,0.55,0.56,0.54,0.60,0.61,0.55,0.52,0.52,0.52,0.50,0.64,0.87
65-1,NaN,0.81,0.79,0.76,0.80,0.78,0.80,0.80,0.59,0.78,0.60,0.52,0.76,0.87,0.65,0.70,0.71,0.70,0.64,0.68,0.42,0.80,0.57,0.65,0.56,0.65,0.65,0.65,0.62,0.67,0.64,0.59,0.65,0.83,0.59,0.54,0.52,0.64,0.58,0.63,0.60,0.53,0.60,0.72,0.74,0.64,0.56,0.58,0.57,0.76,0.53,0.54,0.57,0.71,0.55,0.69,0.54,0.67,0.57,0.52,0.57,0.58,0.47,0.57,0.56,0.84
65-2,NaN,0.83,0.86,0.78,0.82,0.78,0.81,0.82,0.64,0.75,0.63,0.63,0.82,0.81,0.61,0.81,0.73,0.81,0.64,0.67,0.54,0.88,0.61,0.67,0.60,0.68,0.69,0.65,0.63,0.69,0.66,0.57,0.69,0.88,0.60,0.62,0.56,0.63,0.59,0.62,0.61,0.58,0.61,0.64,0.63,0.62,0.57,0.59,0.57,0.66,0.54,0.55,0.58,0.71,0.54,0.69,0.53,0.67,0.58,0.48,0.58,0.58,0.53,0.57,0.56,0.85
65-3,NaN,0.82,0.79,0.82,0.81,0.77,0.79,0.81,0.61,0.77,0.62,0.64,0.78,0.83,0.63,0.72,0.71,0.71,0.66,0.70,0.51,0.83,0.55,0.65,0.55,0.65,0.65,0.62,0.62,0.67,0.64,0.59,0.68,0.82,0.59,0.55,0.54,0.64,0.58,0.59,0.60,0.54,0.60,0.64,0.62,0.63,0.57,0.58,0.56,0.62,0.54,0.53,0.57,0.72,0.54,0.65,0.53,0.64,0.57,0.49,0.57,0.57,0.53,0.53,0.58,0.86
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.65,0.96,0.65,0.67,0.61,0.63,0.67,0.56,NaN,0.62,0.91,0.96,1.00,0.76,0.72,0.84,0.68,0.91,0.91,NaN,0.82,0.63,0.72,0.63,0.65,0.65,0.68,0.88,0.72,0.88,0.75,0.79,0.82,0.70,0.82,0.51,1.00,0.70,1.00,0.70,0.68,0.70,NaN,NaN,1.00,0.70,0.70,0.68,NaN,0.65,0.68,0.76,0.18,0.78,NaN,0.78,NaN,0.70,0.87,NaN,NaN,0.51,NaN,0.59,0.73
69-2,NaN,0.66,0.92,0.73,0.61,0.61,0.58,0.60,0.83,0.77,0.81,0.78,0.84,0.75,0.73,0.87,0.76,0.88,0.74,0.75,0.53,0.85,0.71,0.72,0.71,0.71,0.71,0.65,0.69,0.71,0.69,0.73,0.67,0.90,0.69,0.77,0.71,0.58,0.69,0.69,0.66,0.71,0.64,0.66,0.65,0.56,0.60,0.63,0.63,0.61,0.54,0.53,0.64,0.67,0.53,0.59,0.53,0.59,0.61,0.63,0.52,0.52,0.48,0.51,0.61,0.38
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.92,0.90,0.87,0.91,0.89,0.91,0.91,0.82,0.86,0.83,0.71,0.80,0.81,0.78,0.87,0.80,0.85,0.81,0.77,0.71,0.87,0.76,0.78,0.79,0.78,0.79,0.70,0.84,0.80,0.84,0.77,0.74,0.85,0.78,0.73,0.69,0.60,0.77,0.65,0.75,0.74,0.74,0.61,0.69,0.57,0.67,0.68,0.74,0.63,0.54,0.57,0.65,0.66,0.63,0.60,0.63,0.64,0.64,0.65,0.50,0.50,0.64,0.50,0.69,0.93
70-3,NaN,0.90,0.74,0.70,0.88,0.84,0.87,0.89,0.50,0.81,0.77,0.84,0.80,0.52,0.73,0.76,0.79,0.76,0.65,0.76,0.66,0.74,0.69,0.70,0.69,0.74,0.74,0.58,0.76,0.72,0.77,0.66,0.65,0.59,0.69,0.65,0.70,0.54,0.67,0.51,0.62,0.71,0.61,0.59,0.57,0.55,0.61,0.63,0.70,0.53,0.54,0.55,0.60,0.61,0.53,0.50,0.53,0.54,0.65,0.67,0.50,0.50,0.55,0.50,0.57,0.92
72-1,NaN,0.74,0.79,0.90,0.73,0.74,0.73,0.73,0.71,0.50,0.73,0.70,0.74,0.74,0.66,0.72,0.78,0.72,0.56,0.66,0.59,0.70,0.71,0.72,0.71,0.67,0.67,0.58,0.69,0.73,0.69,0.63,0.63,0.55,0.63,0.65,0.60,0.56,0.66,0.61,0.65,0.62,0.65,0.55,0.55,0.53,0.59,0.64,0.66,0.55,0.53,0.53,0.62,0.57,0.56,0.55,0.56,0.55,0.62,0.65,0.50,0.50,0.55,0.50,0.52,0.71
