ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0044425,GO:0005783,GO:0044427,GO:0070013,GO:0005694,GO:0005654,GO:0043233,GO:0044428,GO:0030054,GO:0031974,GO:0005615,GO:0043005,GO:0071944,GO:0005886,GO:0005634,GO:0043234,GO:0097458,GO:0070161,GO:0042995,GO:0005856,GO:0005730,GO:0044430,GO:0005739,GO:0044463,GO:0032991,GO:0005912,GO:0005576,GO:0044421,GO:0016020,GO:0043228,GO:0043232,GO:0044446,GO:0030424,GO:0044422,GO:0005829,GO:0005924,GO:0005794,GO:0030055,GO:0012505,GO:0043231,GO:0043230,GO:0065010,GO:0070062,GO:0031988,GO:0005925,GO:0031982,GO:0043229,GO:0044444,GO:0044424,GO:0043226,GO:0005622,GO:0043227,GO:0005623,GO:0044464,GO:0005737
BLAST-S11,NaN,0.73,0.78,0.75,0.75,0.70,0.79,0.73,0.72,0.74,0.72,0.73,0.73,0.74,0.74,0.72,0.73,0.74,0.71,0.68,0.69,0.73,0.70,0.70,0.69,0.66,0.70,0.66,0.66,0.70,0.68,0.66,0.60,0.61,0.61,0.59,0.66,0.59,0.64,0.63,0.63,0.62,0.58,0.59,0.50,0.50,0.50,0.56,0.59,0.56,0.58,0.54,0.54,0.53,0.54,0.54,0.53,0.51,0.52
BLAST-S14,NaN,0.85,0.82,0.81,0.80,0.79,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.70,0.68,0.68,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.60,0.60,0.60,0.60,0.59,0.59,0.59,0.55,0.55,0.55,0.55,0.55,0.54,0.53,0.52
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.73,0.74,0.69,0.73,0.70,0.61,0.68,0.68,0.55,0.67,0.70,0.66,0.68,0.74,0.49,0.72,0.73,0.68,0.63,0.48,0.64,0.58,0.70,0.66,0.63,0.73,0.54,0.60,0.64,0.67,0.59,0.60,0.63,0.63,0.57,0.52,0.57,0.61,0.61,0.64,0.61,0.72,0.58,0.50,0.50,0.50,0.55,0.58,0.55,0.57,0.56,0.51,0.54,0.51,0.55,0.52,0.51,0.52
101-2,NaN,0.60,0.58,0.51,0.59,0.53,0.50,0.51,0.54,0.54,0.51,0.51,0.52,0.51,0.53,0.50,0.54,0.54,0.55,0.51,0.50,0.53,0.49,0.54,0.50,0.49,0.56,0.50,0.51,0.53,0.53,0.51,0.51,0.52,0.52,0.49,0.50,0.49,0.50,0.53,0.52,0.53,0.51,0.55,0.50,0.50,0.50,0.50,0.53,0.51,0.55,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.51
101-3,NaN,0.72,0.73,0.69,0.79,0.71,0.61,0.68,0.68,0.54,0.68,0.71,0.70,0.69,0.74,0.50,0.74,0.74,0.80,0.66,0.48,0.64,0.58,0.72,0.67,0.66,0.75,0.52,0.63,0.65,0.68,0.59,0.66,0.66,0.66,0.60,0.52,0.60,0.61,0.61,0.65,0.61,0.74,0.73,0.50,0.50,0.50,0.56,0.58,0.56,0.71,0.59,0.64,0.64,0.66,0.63,0.61,0.61,0.58
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.63,0.65,0.67,0.78,0.77,0.71,0.66,0.74,0.49,0.66,0.64,0.61,0.66,0.56,0.60,0.60,0.60,0.81,0.65,0.65,0.57,0.57,0.68,0.66,0.65,0.79,0.60,0.63,0.57,0.64,0.54,0.67,0.65,0.65,0.63,0.49,0.62,0.60,0.59,0.72,0.59,0.71,0.77,0.50,0.50,0.50,0.51,0.54,0.50,0.74,0.67,0.69,0.67,0.69,0.65,0.62,0.63,0.63
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.89,0.85,0.79,0.74,0.77,0.79,0.76,0.75,0.81,0.75,0.74,0.78,0.75,0.76,0.69,0.73,0.73,0.67,0.57,0.69,0.76,0.72,0.74,0.71,0.75,0.77,0.74,0.53,0.76,0.67,0.65,0.68,0.69,0.69,0.62,0.56,0.63,0.61,0.75,0.77,0.75,0.76,0.62,0.59,0.59,0.59,0.57,0.75,0.57,0.62,0.55,0.59,0.50,0.59,0.50,0.56,0.56,0.55
105-2,NaN,0.89,0.87,0.80,0.76,0.80,0.88,0.79,0.81,0.90,0.79,0.79,0.77,0.78,0.75,0.72,0.77,0.77,0.74,0.68,0.73,0.68,0.73,0.79,0.69,0.74,0.84,0.70,0.64,0.68,0.66,0.64,0.65,0.74,0.74,0.65,0.53,0.66,0.60,0.66,0.80,0.65,0.80,0.68,0.56,0.56,0.56,0.58,0.65,0.58,0.67,0.62,0.60,0.54,0.60,0.53,0.58,0.59,0.58
105-3,NaN,0.83,0.78,0.79,0.76,0.78,0.85,0.77,0.82,0.85,0.76,0.77,0.75,0.76,0.76,0.70,0.72,0.73,0.68,0.66,0.70,0.69,0.70,0.78,0.65,0.74,0.80,0.72,0.62,0.69,0.70,0.69,0.64,0.71,0.71,0.60,0.50,0.61,0.61,0.62,0.76,0.61,0.76,0.63,0.59,0.59,0.59,0.58,0.62,0.58,0.60,0.61,0.56,0.50,0.56,0.50,0.55,0.54,0.55
106-1,NaN,0.56,0.54,0.58,0.73,0.69,0.70,0.57,0.70,0.74,0.57,0.61,0.55,0.57,0.50,0.49,0.68,0.67,0.75,0.71,0.49,0.50,0.48,0.69,0.56,0.70,0.68,0.49,0.69,0.50,0.61,0.54,0.60,0.66,0.66,0.61,0.50,0.60,0.66,0.50,0.48,0.50,0.63,0.68,0.50,0.50,0.50,0.52,0.50,0.51,0.67,0.64,0.68,0.62,0.66,0.60,0.54,0.57,0.62
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.57,0.56,0.58,0.74,0.64,0.49,0.57,0.49,0.98,0.57,0.57,0.57,0.57,0.50,0.49,0.73,0.72,0.75,0.72,0.49,0.49,0.47,0.68,0.49,0.67,0.59,0.49,0.71,0.49,0.61,0.54,0.62,0.62,0.62,0.57,0.50,0.56,0.70,0.50,0.47,0.50,0.69,0.69,0.50,0.50,0.50,0.52,0.50,0.52,0.68,0.66,0.73,0.63,0.71,0.58,0.62,0.64,0.66
107-1,NaN,0.84,0.87,0.77,0.75,0.77,0.81,0.75,0.74,0.87,0.74,0.75,0.75,0.74,0.72,0.67,0.73,0.74,0.67,0.55,0.66,0.68,0.64,0.71,0.67,0.70,0.72,0.62,0.52,0.68,0.66,0.64,0.66,0.63,0.63,0.57,0.50,0.57,0.61,0.66,0.82,0.66,0.74,0.58,0.55,0.55,0.55,0.60,0.66,0.60,0.55,0.56,0.54,0.49,0.54,0.51,0.55,0.55,0.55
107-2,NaN,0.67,0.74,0.74,0.74,0.82,0.73,0.70,0.73,0.80,0.70,0.72,0.81,0.70,0.74,0.65,0.74,0.74,0.78,0.70,0.63,0.67,0.64,0.73,0.65,0.72,0.81,0.58,0.68,0.67,0.65,0.64,0.61,0.71,0.71,0.60,0.49,0.59,0.60,0.66,0.71,0.66,0.78,0.73,0.55,0.55,0.55,0.58,0.66,0.58,0.72,0.62,0.66,0.60,0.65,0.57,0.60,0.61,0.59
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.82,0.81,0.56,0.72,0.68,0.65,0.55,0.63,0.60,0.54,0.55,0.52,0.54,0.54,0.74,0.71,0.70,0.52,0.68,0.73,0.50,0.71,0.59,0.57,0.62,0.66,0.74,0.67,0.50,0.42,0.43,0.54,0.56,0.56,0.56,0.62,0.56,0.54,0.48,0.58,0.48,0.79,0.56,0.48,0.48,0.48,0.38,0.49,0.38,0.56,0.62,0.57,0.41,0.58,0.41,0.68,0.64,0.56
110-2,NaN,0.68,0.70,0.78,0.77,0.69,0.76,0.77,0.73,0.79,0.76,0.81,0.80,0.80,0.64,0.52,0.72,0.73,0.80,0.69,0.56,0.73,0.63,0.75,0.62,0.72,0.67,0.56,0.67,0.72,0.68,0.64,0.62,0.71,0.71,0.60,0.50,0.60,0.56,0.65,0.65,0.69,0.62,0.68,0.51,0.51,0.50,0.58,0.50,0.58,0.66,0.65,0.65,0.59,0.65,0.57,0.62,0.62,0.59
110-3,NaN,0.58,0.59,0.67,0.54,0.71,0.78,0.65,0.78,0.77,0.65,0.66,0.78,0.64,0.70,0.57,0.55,0.54,0.64,0.57,0.54,0.86,0.57,0.74,0.64,0.76,0.74,0.51,0.56,0.87,0.64,0.64,0.53,0.63,0.63,0.59,0.47,0.57,0.59,0.89,0.68,0.88,0.39,0.60,0.56,0.56,0.54,0.67,0.83,0.66,0.60,0.61,0.61,0.58,0.60,0.57,0.54,0.55,0.62
111-1,NaN,0.85,0.83,0.64,0.71,0.68,0.72,0.62,0.69,0.59,0.61,0.62,0.52,0.61,0.54,0.73,0.71,0.71,0.56,0.72,0.71,0.50,0.69,0.61,0.64,0.67,0.68,0.73,0.70,0.50,0.41,0.42,0.56,0.63,0.63,0.61,0.62,0.61,0.54,0.48,0.59,0.48,0.78,0.58,0.48,0.48,0.48,0.37,0.48,0.37,0.59,0.63,0.57,0.43,0.57,0.43,0.65,0.61,0.59
111-2,NaN,0.57,0.57,0.73,0.53,0.76,0.83,0.71,0.83,0.84,0.70,0.72,0.79,0.70,0.70,0.57,0.53,0.52,0.69,0.58,0.54,0.88,0.59,0.76,0.66,0.79,0.74,0.51,0.57,0.89,0.64,0.63,0.52,0.67,0.67,0.63,0.47,0.61,0.60,0.87,0.68,0.87,0.38,0.61,0.56,0.56,0.54,0.67,0.83,0.65,0.61,0.63,0.62,0.59,0.61,0.58,0.54,0.55,0.62
111-3,NaN,0.45,0.44,0.61,0.42,0.66,0.66,0.60,0.64,0.55,0.60,0.62,0.51,0.60,0.49,0.49,0.53,0.50,0.68,0.62,0.42,0.53,0.50,0.65,0.58,0.79,0.99,0.48,0.57,0.55,0.52,0.50,0.53,0.66,0.66,0.61,0.49,0.60,0.49,0.44,0.48,0.44,0.48,0.66,0.50,0.50,0.50,0.49,0.50,0.48,0.65,0.70,0.55,0.56,0.54,0.60,0.44,0.45,0.66
112-1,NaN,0.85,0.80,0.84,0.84,0.74,0.88,0.80,0.87,0.90,0.80,0.84,0.85,0.81,0.76,0.67,0.75,0.75,0.80,0.76,0.62,0.83,0.71,0.78,0.68,0.77,0.77,0.69,0.73,0.82,0.67,0.65,0.65,0.74,0.74,0.67,0.54,0.66,0.59,0.77,0.67,0.79,0.73,0.68,0.53,0.53,0.49,0.59,0.63,0.58,0.66,0.66,0.65,0.60,0.64,0.56,0.58,0.59,0.61
112-2,NaN,0.86,0.80,0.83,0.84,0.74,0.88,0.80,0.87,0.90,0.80,0.83,0.83,0.81,0.75,0.68,0.76,0.75,0.80,0.75,0.62,0.81,0.71,0.78,0.68,0.77,0.78,0.69,0.72,0.80,0.67,0.65,0.65,0.74,0.74,0.67,0.54,0.66,0.58,0.75,0.67,0.76,0.73,0.68,0.52,0.52,0.49,0.58,0.63,0.58,0.66,0.66,0.65,0.59,0.64,0.56,0.58,0.59,0.61
112-3,NaN,0.85,0.80,0.84,0.81,0.74,0.88,0.80,0.87,0.90,0.79,0.84,0.85,0.81,0.76,0.68,0.75,0.75,0.80,0.75,0.62,0.83,0.69,0.78,0.68,0.77,0.77,0.69,0.73,0.82,0.67,0.65,0.63,0.74,0.74,0.65,0.54,0.64,0.59,0.77,0.67,0.79,0.73,0.67,0.53,0.53,0.49,0.59,0.63,0.58,0.65,0.67,0.67,0.59,0.67,0.55,0.61,0.62,0.62
113-1,NaN,0.86,0.80,0.83,0.81,0.75,0.88,0.80,0.87,0.89,0.79,0.84,0.83,0.81,0.75,0.68,0.76,0.75,0.80,0.75,0.63,0.81,0.69,0.78,0.68,0.77,0.77,0.69,0.72,0.80,0.67,0.65,0.63,0.74,0.74,0.65,0.54,0.64,0.59,0.75,0.67,0.76,0.73,0.67,0.52,0.52,0.49,0.58,0.63,0.58,0.65,0.67,0.66,0.59,0.66,0.55,0.61,0.62,0.62
113-2,NaN,0.70,0.71,0.79,0.53,0.70,0.80,0.77,0.87,0.89,0.77,0.81,0.80,0.76,0.71,0.69,0.61,0.59,0.68,0.68,0.65,0.87,0.63,0.73,0.72,0.79,0.74,0.61,0.65,0.88,0.63,0.63,0.54,0.67,0.67,0.63,0.51,0.61,0.57,0.87,0.68,0.87,0.53,0.59,0.56,0.56,0.54,0.67,0.82,0.66,0.58,0.60,0.60,0.56,0.59,0.56,0.55,0.56,0.60
113-3,NaN,0.86,0.81,0.69,0.62,0.77,0.81,0.66,0.73,0.70,0.64,0.69,0.58,0.64,0.79,0.64,0.70,0.70,0.66,0.72,0.60,0.51,0.58,0.66,0.67,0.72,0.88,0.65,0.69,0.51,0.51,0.49,0.58,0.63,0.63,0.57,0.54,0.56,0.62,0.45,0.64,0.45,0.75,0.58,0.48,0.48,0.48,0.42,0.47,0.44,0.57,0.66,0.54,0.53,0.54,0.50,0.47,0.46,0.61
114-1,NaN,0.94,0.89,0.84,0.79,0.79,0.87,0.82,0.83,0.82,0.82,0.81,0.72,0.82,0.76,0.80,0.76,0.76,0.82,0.75,0.82,0.75,0.77,0.71,0.72,0.68,0.79,0.73,0.71,0.75,0.66,0.62,0.67,0.74,0.74,0.72,0.46,0.71,0.70,0.73,0.69,0.73,0.82,0.73,0.50,0.50,0.50,0.58,0.73,0.59,0.69,0.65,0.63,0.60,0.63,0.60,0.60,0.60,0.61
115-1,NaN,0.75,0.77,0.85,0.80,0.81,0.80,0.85,0.81,0.91,0.85,0.81,0.74,0.84,0.79,0.62,0.74,0.75,0.79,0.75,0.63,0.73,0.63,0.81,0.76,0.80,0.82,0.63,0.70,0.71,0.66,0.66,0.67,0.75,0.75,0.69,0.42,0.68,0.63,0.72,0.78,0.71,0.80,0.73,0.56,0.56,0.55,0.59,0.68,0.58,0.70,0.66,0.67,0.60,0.66,0.59,0.60,0.59,0.62
116-1,NaN,0.49,0.49,0.67,0.67,0.61,0.74,0.67,0.78,0.49,0.67,0.65,0.62,0.67,0.58,0.49,0.55,0.55,0.77,0.64,0.49,0.61,0.56,0.66,0.65,0.70,0.77,0.56,0.62,0.57,0.61,0.54,0.63,0.68,0.68,0.65,0.50,0.65,0.55,0.58,0.68,0.62,0.47,0.71,0.50,0.50,0.50,0.50,0.54,0.50,0.69,0.61,0.69,0.60,0.69,0.59,0.62,0.62,0.61
