ID-model,GO:0003674,GO:0004672,GO:0016301,GO:0016773,GO:0016772,GO:0016740,GO:0003824,GO:0005515,GO:0005488
BLAST-S11,NaN,0.93,0.93,0.93,0.94,0.86,0.76,0.79,0.69
BLAST-S14,NaN,0.99,0.99,0.99,0.98,0.92,0.78,0.60,0.54
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.95,0.94,0.94,0.92,0.83,0.84,0.66,0.53
101-2,NaN,0.95,0.95,0.95,0.91,0.93,0.87,0.67,0.57
101-3,NaN,0.95,0.94,0.95,0.95,0.90,0.88,0.70,0.63
102-1,NaN,0.92,0.91,0.92,0.94,0.92,0.83,0.77,0.63
102-2,NaN,0.98,0.98,0.98,0.97,0.94,0.84,0.70,0.54
102-3,NaN,NaN,NaN,NaN,NaN,NaN,1.00,1.00,1.00
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,1.00,1.00,1.00,1.00,0.99,0.88,0.46,0.54
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.98,0.98,0.98,0.97,0.89,0.86,0.71,0.61
105-2,NaN,0.99,0.99,0.99,0.99,0.95,0.90,0.63,0.55
105-3,NaN,0.99,0.99,0.99,0.98,0.92,0.84,0.61,0.52
106-1,NaN,0.72,0.72,0.72,0.73,0.75,0.76,0.53,0.66
106-2,NaN,0.50,0.50,0.50,0.50,0.54,0.60,0.50,0.52
106-3,NaN,1.00,1.00,1.00,1.00,0.97,1.00,0.38,0.65
107-1,NaN,0.94,0.94,0.94,0.95,0.90,0.86,0.69,0.67
107-2,NaN,0.94,0.94,0.94,0.95,0.90,0.79,0.51,0.51
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.93,0.93,0.93,0.90,0.83,0.79,0.85,0.71
110-2,NaN,0.91,0.91,0.91,0.92,0.86,0.83,0.83,0.82
110-3,NaN,0.80,0.74,0.80,0.71,0.61,0.54,0.75,0.72
111-1,NaN,0.93,0.93,0.93,0.90,0.83,0.80,0.85,0.71
111-2,NaN,0.80,0.74,0.81,0.71,0.63,0.58,0.75,0.72
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,NaN,NaN
112-1,NaN,0.94,0.93,0.94,0.93,0.88,0.84,0.93,0.83
112-2,NaN,0.95,0.94,0.94,0.94,0.88,0.85,0.93,0.83
112-3,NaN,0.94,0.93,0.93,0.93,0.89,0.85,0.66,0.72
113-1,NaN,0.94,0.93,0.94,0.93,0.89,0.85,0.67,0.72
113-2,NaN,0.80,0.74,0.80,0.71,0.61,0.54,0.39,0.55
113-3,NaN,0.92,0.92,0.92,0.89,0.82,0.79,0.60,0.62
114-1,NaN,0.94,0.94,0.94,0.95,0.92,0.87,0.80,0.71
115-1,NaN,0.98,0.98,0.98,0.98,0.96,0.87,0.64,0.50
116-1,NaN,1.00,1.00,1.00,1.00,0.91,0.82,0.46,0.49
116-2,NaN,1.00,1.00,1.00,1.00,0.91,0.88,0.50,0.52
117-1,NaN,0.92,0.94,0.94,0.93,0.87,0.86,0.61,0.69
117-2,NaN,1.00,1.00,1.00,1.00,1.00,0.96,0.64,0.73
119-1,NaN,1.00,1.00,1.00,1.00,0.96,0.85,0.55,0.55
120-1,NaN,0.92,0.93,0.93,0.93,0.93,0.88,0.87,0.68
120-2,NaN,0.76,0.85,0.81,0.76,0.58,0.71,0.62,0.53
120-3,NaN,0.85,0.83,0.83,0.75,0.63,0.68,0.50,0.55
121-1,NaN,1.00,1.00,1.00,1.00,0.91,0.81,0.45,0.51
121-2,NaN,0.83,1.00,0.83,1.00,0.89,0.81,0.45,0.67
121-3,NaN,1.00,1.00,1.00,1.00,0.97,0.85,0.82,0.40
122-1,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.74,0.58
124-1,NaN,0.66,0.28,0.28,0.45,0.27,0.24,0.66,0.64
124-2,NaN,0.60,0.30,0.30,0.38,0.25,0.26,0.50,0.42
124-3,NaN,0.64,0.20,0.20,0.38,0.23,0.24,0.66,0.64
125-1,NaN,0.95,0.95,0.95,0.96,0.93,0.87,0.79,0.69
125-2,NaN,1.00,1.00,1.00,1.00,0.95,0.89,0.58,0.71
125-3,NaN,0.99,0.99,0.99,0.99,0.94,0.90,0.82,0.61
126-1,NaN,NaN,NaN,NaN,1.00,1.00,1.00,0.50,0.88
127-1,NaN,1.00,1.00,1.00,1.00,0.98,0.92,0.53,0.55
127-2,NaN,1.00,1.00,1.00,1.00,0.97,0.92,0.44,0.63
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,1.00,1.00,1.00,0.97,0.78,0.73,0.81
129-1,NaN,0.99,0.99,0.99,0.99,0.95,0.85,0.40,0.47
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.99,0.99,0.99,0.99,0.95,0.85,0.40,0.47
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,1.00,0.98,1.00,0.98,0.92,0.81,0.53,0.62
131-2,NaN,1.00,1.00,1.00,1.00,0.96,0.89,0.55,0.63
131-3,NaN,0.95,0.94,0.94,0.98,0.95,0.82,0.65,0.63
132-1,NaN,0.95,0.93,0.94,0.91,0.85,0.80,0.93,0.84
132-2,NaN,0.95,0.93,0.94,0.91,0.86,0.81,0.61,0.70
65-1,NaN,0.95,0.96,0.96,0.88,0.80,0.57,0.62,0.56
65-2,NaN,0.94,0.96,0.96,0.86,0.84,0.59,0.61,0.56
65-3,NaN,0.95,0.97,0.95,0.86,0.81,0.56,0.63,0.56
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.99,0.99,0.99,0.99,0.97,0.86,0.63,0.59
69-2,NaN,0.99,0.99,0.99,0.99,0.97,0.85,0.62,0.55
70-1,NaN,0.94,0.94,0.94,0.94,0.91,0.88,0.73,0.81
70-2,NaN,0.94,0.93,0.96,0.85,0.52,0.55,0.49,0.59
70-3,NaN,0.96,0.96,0.97,0.84,0.82,0.71,0.35,0.54
72-1,NaN,0.92,0.92,0.92,0.95,0.90,0.84,0.60,0.63
72-2,NaN,0.90,0.90,0.90,0.88,0.78,0.69,0.50,0.56
73-1,NaN,0.90,0.89,0.90,0.90,0.83,0.73,0.75,0.56
73-2,NaN,0.90,0.89,0.90,0.90,0.84,0.73,0.75,0.56
73-3,NaN,0.94,0.94,0.94,0.89,0.78,0.62,0.61,0.53
74-1,NaN,0.91,0.91,0.91,0.84,0.87,0.78,0.57,0.37
74-2,NaN,0.94,0.94,0.94,0.99,0.96,0.89,0.72,0.58
75-1,NaN,0.99,0.99,0.99,0.99,0.97,0.86,0.62,0.59
75-2,NaN,0.99,0.99,0.99,0.99,0.96,0.85,0.61,0.56
79-1,NaN,0.98,0.99,0.99,0.98,0.91,0.82,0.68,0.67
79-2,NaN,1.00,1.00,1.00,0.98,0.94,0.89,0.57,0.71
79-3,NaN,1.00,1.00,1.00,1.00,0.94,0.83,0.64,0.65
80-1,NaN,0.92,0.92,0.92,0.87,0.89,0.85,0.53,0.36
80-2,NaN,0.94,0.94,0.94,0.99,0.96,0.89,0.70,0.60
81-1,NaN,1.00,1.00,1.00,1.00,0.93,0.78,0.47,0.37
81-2,NaN,1.00,1.00,1.00,1.00,0.93,0.78,0.47,0.37
82-1,NaN,0.95,0.95,0.95,0.94,0.89,0.88,0.62,0.60
83-1,NaN,0.94,0.93,0.94,0.94,0.90,0.86,0.76,0.67
83-2,NaN,0.94,0.93,0.94,0.94,0.94,0.90,0.77,0.67
84-1,NaN,0.95,0.91,0.93,0.88,0.76,0.80,0.63,0.44
85-1,NaN,1.00,1.00,1.00,1.00,0.98,0.88,0.87,0.75
85-2,NaN,1.00,1.00,1.00,1.00,0.98,0.88,0.87,0.75
86-1,NaN,0.85,0.85,0.85,0.79,0.80,0.72,0.83,0.80
86-2,NaN,0.85,0.85,0.85,0.79,0.80,0.72,0.83,0.80
86-3,NaN,0.81,0.81,0.81,0.78,0.74,0.71,0.95,0.89
87-1,NaN,0.93,0.93,0.93,0.94,0.94,0.86,0.68,0.71
87-2,NaN,0.93,0.93,0.93,0.94,0.93,0.86,0.65,0.57
87-3,NaN,1.00,1.00,1.00,0.99,0.95,0.94,0.60,0.57
88-1,NaN,0.83,0.83,0.83,0.83,0.85,0.75,0.63,0.63
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,1.00,0.99,1.00,0.99,0.95,0.83,0.65,0.62
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.99,0.98,0.98,0.97,0.95,0.88,0.61,0.65
99-1,NaN,0.99,1.00,0.99,1.00,0.97,0.88,0.61,0.69
