ID-model,GO:0003674,GO:0003824,GO:0005488,GO:0003723,GO:0097159,GO:1901363,GO:0003676,GO:0003729,GO:0005515
BLAST-S11,NaN,0.72,0.63,0.63,0.58,0.60,0.58,0.61,0.77
BLAST-S14,NaN,0.68,0.66,0.62,0.60,0.60,0.57,0.56,0.55
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.62,0.48,0.66,0.67,0.67,0.63,0.53,0.65
101-2,NaN,0.64,0.47,0.56,0.62,0.62,0.59,0.53,0.49
101-3,NaN,0.66,0.59,0.66,0.68,0.68,0.64,0.53,0.70
102-1,NaN,0.63,0.70,0.71,0.72,0.72,0.68,0.67,0.70
102-2,NaN,0.67,0.68,0.71,0.71,0.71,0.67,0.65,0.64
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.64,0.58,0.63,0.69,0.69,0.64,0.50,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.64,0.68,0.89,0.82,0.82,0.82,0.86,0.58
105-2,NaN,0.71,0.54,0.83,0.77,0.77,0.80,0.66,0.51
105-3,NaN,0.71,0.61,0.68,0.66,0.66,0.69,0.46,0.55
106-1,NaN,0.58,0.49,0.51,0.62,0.62,0.56,0.50,0.54
106-2,NaN,0.52,0.36,0.50,0.56,0.56,0.50,0.50,0.49
106-3,NaN,0.51,0.48,0.50,0.50,0.50,0.49,0.50,0.50
107-1,NaN,0.70,0.63,0.81,0.79,0.79,0.78,0.61,0.57
107-2,NaN,0.74,0.49,0.77,0.69,0.69,0.63,0.62,0.44
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.66,0.76,0.64,0.61,0.61,0.60,0.59,0.91
110-2,NaN,0.68,0.66,0.67,0.69,0.69,0.65,0.62,0.62
110-3,NaN,0.58,0.74,0.75,0.62,0.61,0.65,0.78,0.91
111-1,NaN,0.66,0.73,0.64,0.59,0.59,0.58,0.59,0.91
111-2,NaN,0.59,0.72,0.74,0.60,0.59,0.64,0.78,0.92
111-3,NaN,0.47,0.51,0.51,0.51,0.51,0.51,0.50,0.50
112-1,NaN,0.72,0.88,0.82,0.76,0.75,0.73,0.77,0.97
112-2,NaN,0.72,0.88,0.81,0.75,0.74,0.72,0.73,0.97
112-3,NaN,0.77,0.75,0.81,0.74,0.73,0.72,0.77,0.62
113-1,NaN,0.77,0.75,0.81,0.73,0.72,0.71,0.73,0.62
113-2,NaN,0.49,0.62,0.74,0.59,0.58,0.63,0.78,0.67
113-3,NaN,0.68,0.58,0.63,0.57,0.57,0.57,0.59,0.65
114-1,NaN,0.77,0.70,0.79,0.76,0.76,0.77,0.55,0.88
115-1,NaN,0.75,0.72,0.69,0.68,0.68,0.66,0.63,0.61
116-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
116-2,NaN,0.68,0.55,0.51,0.60,0.60,0.52,0.50,0.50
117-1,NaN,0.70,0.71,0.88,0.82,0.82,0.83,0.78,0.56
117-2,NaN,0.56,0.45,0.50,0.53,0.53,0.50,0.50,0.47
119-1,NaN,0.63,0.60,0.80,0.77,0.77,0.76,0.81,0.73
120-1,NaN,0.75,0.69,0.84,0.76,0.76,0.79,0.66,0.90
120-2,NaN,0.64,0.41,0.58,0.56,0.56,0.60,0.50,0.51
120-3,NaN,0.66,0.41,0.50,0.60,0.66,0.68,0.50,0.50
121-1,NaN,0.52,0.53,0.58,0.63,0.63,0.59,0.50,0.47
121-2,NaN,0.53,0.54,0.53,0.54,0.54,0.53,0.50,0.47
121-3,NaN,0.56,0.75,0.63,0.71,0.71,0.67,0.50,0.94
122-1,NaN,0.62,0.62,0.57,0.64,0.64,0.59,0.50,0.54
124-1,NaN,0.33,0.44,0.74,0.45,0.45,0.60,0.66,0.06
124-2,NaN,0.31,0.42,0.62,0.34,0.34,0.42,0.50,0.06
124-3,NaN,0.33,0.44,0.70,0.45,0.45,0.60,0.66,0.06
125-1,NaN,0.71,0.67,0.70,0.74,0.74,0.74,0.50,0.88
125-2,NaN,0.70,0.67,0.74,0.79,0.79,0.75,0.56,0.48
125-3,NaN,0.75,0.79,0.81,0.77,0.75,0.74,0.68,0.87
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.73,0.51,0.68,0.71,0.71,0.69,0.61,0.52
127-2,NaN,0.72,0.50,0.72,0.73,0.73,0.72,0.67,0.52
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.65,0.61,0.64,0.59,0.59,0.59,0.57,0.49
129-1,NaN,0.72,0.52,0.77,0.79,0.79,0.75,0.66,0.25
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.72,0.52,0.77,0.79,0.79,0.75,0.66,0.25
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.56,0.55,0.56,0.66,0.66,0.61,0.50,0.50
131-2,NaN,0.70,0.58,0.65,0.70,0.70,0.65,0.50,0.50
131-3,NaN,0.58,0.55,0.60,0.68,0.68,0.63,0.51,0.47
132-1,NaN,0.75,0.84,0.78,0.71,0.70,0.69,0.73,0.96
132-2,NaN,0.78,0.70,0.77,0.68,0.68,0.67,0.73,0.67
65-1,NaN,0.60,0.56,0.73,0.66,0.69,0.69,0.57,0.66
65-2,NaN,0.60,0.57,0.73,0.69,0.69,0.69,0.56,0.65
65-3,NaN,0.60,0.56,0.73,0.68,0.69,0.69,0.57,0.64
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.74,0.76,0.65,0.60,0.60,0.58,0.67,0.60
69-2,NaN,0.73,0.72,0.61,0.58,0.58,0.58,0.70,0.61
70-1,NaN,0.65,0.67,0.62,0.58,0.58,0.57,0.58,0.64
70-2,NaN,0.54,0.61,0.60,0.68,0.68,0.66,0.53,0.55
70-3,NaN,0.49,0.58,0.48,0.48,0.58,0.46,0.50,0.60
72-1,NaN,0.61,0.57,0.57,0.65,0.65,0.62,0.50,0.49
72-2,NaN,0.53,0.49,0.55,0.51,0.51,0.50,0.50,0.49
73-1,NaN,0.78,0.54,0.79,0.67,0.67,0.68,0.65,0.67
73-2,NaN,0.79,0.54,0.82,0.69,0.69,0.71,0.66,0.67
73-3,NaN,0.53,0.50,0.74,0.67,0.67,0.68,0.61,0.51
74-1,NaN,0.69,0.32,0.47,0.39,0.39,0.41,0.53,0.52
74-2,NaN,0.61,0.61,0.71,0.68,0.68,0.64,0.61,0.62
75-1,NaN,0.74,0.77,0.67,0.61,0.61,0.61,0.67,0.60
75-2,NaN,0.73,0.72,0.67,0.61,0.61,0.62,0.70,0.61
79-1,NaN,0.64,0.53,0.58,0.59,0.59,0.57,0.56,0.44
79-2,NaN,0.58,0.50,0.57,0.56,0.56,0.54,0.56,0.51
79-3,NaN,0.75,0.70,0.66,0.72,0.72,0.66,0.53,0.45
80-1,NaN,0.79,0.35,0.49,0.42,0.42,0.44,0.53,0.52
80-2,NaN,0.68,0.62,0.71,0.72,0.72,0.65,0.61,0.62
81-1,NaN,0.58,0.59,0.54,0.54,0.54,0.54,0.50,0.56
81-2,NaN,0.58,0.59,0.54,0.54,0.54,0.54,0.50,0.56
82-1,NaN,0.62,0.59,0.67,0.65,0.65,0.65,0.65,0.57
83-1,NaN,0.63,0.68,0.82,0.80,0.81,0.76,0.62,0.70
83-2,NaN,0.70,0.72,0.82,0.79,0.80,0.76,0.62,0.67
84-1,NaN,0.62,0.50,0.60,0.52,0.52,0.54,0.50,0.56
85-1,NaN,0.69,0.79,0.75,0.72,0.72,0.72,0.65,0.80
85-2,NaN,0.69,0.79,0.75,0.72,0.72,0.72,0.65,0.80
86-1,NaN,0.46,0.53,0.50,0.55,0.55,0.55,0.50,0.47
86-2,NaN,0.46,0.53,0.50,0.55,0.55,0.55,0.50,0.47
86-3,NaN,0.47,0.58,0.50,0.50,0.50,0.50,0.50,0.50
87-1,NaN,0.73,0.65,0.69,0.72,0.72,0.68,0.53,0.82
87-2,NaN,0.72,0.61,0.67,0.71,0.71,0.67,0.53,0.80
87-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
88-1,NaN,0.64,0.75,0.65,0.67,0.67,0.62,0.54,0.68
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.64,0.68,0.62,0.71,0.71,0.62,0.50,0.76
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.53,0.42,0.51,0.49,0.49,0.48,0.59,0.56
99-1,NaN,0.66,0.61,0.67,0.70,0.69,0.64,0.61,0.55
